id	ticker	fund	exchange	currency	dividend	distribution	yield	sec	payable	record	ex_dividend	created
1	EQNR  | RDS.A  	The world's largest oil companies have been known for their dividend safety for years, but that may be beginning to change amid a historic rout in crude prices."In this extraordinary situation, we have decided to reduce the cash dividend for the first quarter 2020 by 67% [to $0.09]," Norway's Equinor	NYSE	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2020-04-23 05:41:33
2	UL  | UN 	Unilever's	NYSE	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2020-04-23 05:41:33
3	CFPUF 	Canfor Pulp Products	OTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2020-04-23 05:41:33
4	EQNR 	Equinor	NYSE	USD	0.0900	quarterly	2.8600	NULL	NULL	2020-08-23	2020-08-23	2020-04-23 05:41:33
5	VVV 	Valvoline	NYSE	USD	0.1130	quarterly	3.2700	NULL	2020-06-15	2020-05-29	2020-05-28	2020-04-23 05:41:33
6	LMT 	Lockheed Martin	NYSE	USD	2.4000	quarterly	2.5700	NULL	2020-06-26	2020-06-01	2020-05-29	2020-04-23 05:41:33
7	BXG 	Citing the impact of COVID-19, Bluegreen Vacations	NYSE	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2020-04-23 05:41:33
8	POR 	Portland General Electric	NYSE	USD	0.3850	quarterly	3.1100	NULL	2020-07-15	2020-06-25	2020-06-24	2020-04-23 05:41:33
9	NWE 	NorthWestern	NYSE	USD	0.6000	quarterly	4.0500	NULL	2020-06-30	2020-06-15	2020-06-12	2020-04-23 05:41:33
10	PNW 	Pinnacle West Capital	NYSE	USD	0.7825	quarterly	4.1400	NULL	2020-06-01	2020-05-04	2020-05-01	2020-04-23 05:41:33
11	PUB 	People's Utah Bancorp	NASDAQ	USD	0.1400	quarterly	3.1900	NULL	2020-05-11	2020-05-04	2020-05-01	2020-04-23 05:41:33
12	RUSHA  | RUSHB 	Rush	NASDAQ	USD	0.1300	quarterly	1.6300	NULL	2020-06-10	2020-05-07	2020-05-06	2020-04-23 05:41:33
