id	        Ticker        	 Exchange 	Currency	 Dividend 	Distribution	 Yield  	30-Day SEC	 Payable  	  Record  	Ex-Dividend 	Timestamp 	          Fund           
1  	MSB                   	NYSE    	     USD	   0.5600	quarterly   	15.640	          	2020-05-20	2020-04-30	2020-04-29	2020-04-13 17:44    	Mesabi Trust                                                               
2  	FAST                  	NASDAQ  	     USD	   0.2500	quarterly   	 2.970	          	2020-05-26	2020-04-28	2020-04-27	2020-04-13 17:08    	Fastenal                                                                   
3  	PKIUF                 	OTCPK   	     CAD	   0.1012	monthly     	 4.080	          	2020-05-15	2020-04-22	2020-04-21	2020-04-13 17:02    	Parkland Fuel                                                              
4  	HCAP                  	NASDAQ  	        	   0.0813	            	      	          	          	          	          	2020-04-13 16:18    	As part of its plan to preserve liquidity made uncertainty resulting from t
5  	UNM                   	NYSE    	     USD	   0.2850	quarterly   	 7.230	          	2020-05-15	2020-04-27	2020-04-24	2020-04-13 14:02    	Unum                                                                       
6  	BADFF                 	OTCPK   	     CAD	   0.0500	monthly     	 2.420	          	2020-05-15	2020-04-30	2020-04-29	2020-04-13 11:28    	Badger Daylighting                                                         
7  	OSTK  | OSTBP  | OSTK 	OSTK+0.4	        	         	            	      	1969-12-31	          	          	          	2020-04-13 10:33    	Overstock.com                                                              
8  	CHCO                  	NASDAQ  	     USD	   0.5700	quarterly   	      	          	2020-04-30	2020-04-15	2020-04-14	2020-04-13 10:19    	City Holding                                                               
9  	BMEZ                  	NYSE    	     USD	   0.1000	monthly     	      	          	2020-04-30	2020-04-15	2020-04-14	2020-04-13 10:16    	BlackRock Health Sciences Trust II                                         
10 	ATHM                  	NYSE    	     USD	   0.7700	annual      	 1.070	          	2020-04-22	2020-04-15	2020-04-14	2020-04-13 10:14    	Autohome                                                                   
11 	XFLT                  	NYSE    	     USD	   0.0600	monthly     	      	          	2020-05-01	2020-04-15	2020-04-14	2020-04-13 10:08    	XAI Octagon Floating Rate &amp; Alternative Income Term Trust              
12 	OXSQ                  	NASDAQ  	     USD	   0.0670	monthly     	      	          	2020-06-30	2020-06-15	2020-06-12	2020-04-13 10:04    	Oxford Square Capital                                                      
13 	EXP                   	        	        	         	            	      	          	          	          	          	2020-04-13 09:43    	Eagle Materials                                                            
14 	FMN                   	NYSE    	     USD	   0.0500	monthly     	 4.660	          	2020-05-01	2020-04-23	2020-04-22	2020-04-13 09:40    	Federated Premier Municipal Income Fund                                    
15 	RILYP                 	NASDAQ  	     USD	   0.4297	quarterly   	 9.240	          	2020-04-30	2020-04-23	2020-04-22	2020-04-13 09:38    	B. Riley Financial Series A Cum Ppptl Pref Stk                             
16 	USA                   	NYSE    	     USD	   0.1400	quarterly   	10.470	          	2020-06-08	2020-04-24	2020-04-23	2020-04-13 09:36    	Liberty All-Star Equity Fund                                               
17 	ATGFF                 	OTCPK   	     CAD	   0.0800	monthly     	 6.410	          	2020-05-15	2020-04-27	2020-04-24	2020-04-13 09:36    	AltaGas                                                                    
18 	ASG                   	NYSE    	     USD	   0.1100	quarterly   	 8.680	          	2020-06-08	2020-04-24	2020-04-23	2020-04-13 09:35    	Liberty All-Star Growth Fund                                               
19 	GBDC                  	NASDAQ  	     USD	   0.2900	quarterly   	 9.360	          	2020-06-29	2020-06-09	2020-06-08	2020-04-13 08:36    	Golub Capital BDC                                                          
20 	OHI                   	NYSE    	     USD	   0.6700	quarterly   	 7.750	          	2020-05-15	2020-04-30	2020-04-29	2020-04-13 08:32    	Omega Healthcare Investors                                                 
21 	GBDC                  	NASDAQ  	        	         	            	      	          	          	          	          	2020-04-13 08:32    	Golub Capital BDC                                                          
22 	GEL                   	NYSE    	     USD	   0.1500	            	12.020	          	2020-05-15	2020-05-01	2020-04-30	2020-04-13 07:34    	Genesis Energy                                                             
23 	GFNCP                 	NASDAQ  	     USD	   2.2500	quarterly   	 9.780	          	2020-04-30	2020-04-29	2020-04-28	2020-04-13 07:28    	General Finance Corp Cum Red Perp Pfd Shs Series C                         
24 	BRMK                  	NYSE    	     USD	   0.0600	monthly     	 9.170	          	2020-05-15	2020-04-30	2020-04-29	2020-04-13 07:08    	Broadmark Realty Capital                                                   
25 	GLBZ                  	NASDAQ  	     USD	   0.1000	quarterly   	 4.380	          	2020-05-01	2020-04-20	2020-04-17	2020-04-13 06:07    	Glen Burnie Bancorp                                                        
