id	ticker	fund	exchange	currency	dividend	distribution	yield	sec	payable	record	ex_dividend	created
1	UNCFF 	Following the ECB's recommendation on 27 March 2020 to not pay dividends until at least October 2020,?UniCredit S.p.A.	OTCPK	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2020-03-30 00:03:58
2	LZB 	La-Z-Boy	NYSE	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2020-03-30 00:03:58
3	EC 	Ecopetrol S.A.	NYSE	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2020-03-30 00:03:58
4	RWT 	Redwood Trust	NYSE	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2020-03-30 00:03:58
5	MITT 	AG Mortgage Investment Trust	NYSE	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2020-03-30 00:03:58
6	T.PC 	AT&T Inc. 4.750% PFD SER C	NYSE	USD	0.2408	quarterly	4.4300	NULL	2020-05-01	2020-04-09	2020-04-08	2020-03-30 00:03:58
7	T.PA 	AT&T Inc. 5 DEP RP PFD A	OTC	USD	0.3125	quarterly	5.2700	NULL	2020-05-01	2020-04-09	2020-04-08	2020-03-30 00:03:58
8	EAD 	Wells Fargo Advantage Income Opportunities Fund	NYSEMKT	USD	0.0597	monthly	11.6300	NULL	2020-05-01	2020-04-14	2020-04-13	2020-03-30 00:03:58
9	ERH 	Wells Fargo Advantage Utilities & High Income Fund	NYSEMKT	USD	0.0810	monthly	NULL	NULL	2020-05-01	2020-04-14	2020-04-13	2020-03-30 00:03:58
10	ERC 	Wells Fargo Multi-Sector Income Fund	NYSEMKT	USD	0.0994	monthly	12.5200	NULL	2020-05-01	2020-04-14	2020-04-13	2020-03-30 00:03:58
11	RVSB 	Riverview Bancorp	NASDAQ	USD	0.0500	quarterly	4.0200	NULL	2020-04-22	2020-04-09	2020-04-08	2020-03-30 00:03:58
12	TPX 	Tempur Sealy	NYSE	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2020-03-30 00:03:58
13	WAYN 	Wayne Savings	OTC	USD	0.2000	quarterly	4.7100	NULL	2020-04-29	2020-04-15	2020-04-14	2020-03-30 00:03:58
14	VTHR 	Vanguard Russell 3000 ETF	NASDAQ	USD	0.5821	quarterly	1.8700	2020-02-29	2020-03-31	2020-03-27	2020-03-26	2020-03-30 00:03:58
15	VTWG 	Vanguard Russell 2000 Growth ETF	NASDAQ	USD	0.2343	quarterly	0.4800	2020-02-29	2020-03-31	2020-03-27	2020-03-26	2020-03-30 00:03:58
16	VTWV 	Vanguard Russell 2000 Value ETF	NASDAQ	USD	0.1059	quarterly	2.2800	2020-02-29	2020-03-31	2020-03-27	2020-03-26	2020-03-30 00:03:58
17	VTWO 	Vanguard Russell 2000 ETF	NASDAQ	USD	0.1282	quarterly	1.4700	2020-02-29	2020-03-31	2020-03-27	2020-03-26	2020-03-30 00:03:58
18	VONG 	Vanguard Russell 1000 Growth ETF	NASDAQ	USD	0.4918	quarterly	1.1600	2020-02-29	2020-03-31	2020-03-27	2020-03-26	2020-03-30 00:03:58
19	VONV 	Vanguard Russell 1000 Value ETF	NASDAQ	USD	0.7137	quarterly	2.8000	2020-02-29	2020-03-31	2020-03-27	2020-03-26	2020-03-30 00:03:58
20	VONE 	Vanguard Russell 1000 ETF	NASDAQ	USD	0.6364	quarterly	1.9200	2020-02-29	2020-03-31	2020-03-27	2020-03-26	2020-03-30 00:03:58
21	MGV 	Vanguard Mega Cap Value ETF	NYSEARCA	USD	0.5072	quarterly	3.0500	2020-02-29	2020-03-31	2020-03-27	2020-03-26	2020-03-30 00:03:58
22	MGK 	Vanguard Mega Cap Growth ETF	NYSEARCA	USD	0.3047	quarterly	1.0000	2020-02-29	2020-03-31	2020-03-27	2020-03-26	2020-03-30 00:03:58
23	MGC 	Vanguard Mega Cap ETF	NYSEARCA	USD	0.4619	quarterly	1.9800	2020-02-29	2020-03-31	2020-03-27	2020-03-26	2020-03-30 00:03:58
24	VUG 	Vanguard Growth ETF	NYSEARCA	USD	0.3983	quarterly	1.0200	2020-02-29	2020-03-31	2020-03-27	2020-03-26	2020-03-30 00:03:58
25	VTV 	Vanguard Value ETF	NYSEARCA	USD	0.7605	quarterly	3.0100	2020-02-29	2020-03-31	2020-03-27	2020-03-26	2020-03-30 00:03:58
26	VV 	Vanguard Large-Cap ETF	NYSEARCA	USD	0.6390	quarterly	1.9700	2020-02-29	2020-03-31	2020-03-27	2020-03-26	2020-03-30 00:03:58
27	VXF 	Vanguard Extended Market ETF	NYSEARCA	USD	0.1660	quarterly	1.5200	2020-02-29	2020-03-31	2020-03-27	2020-03-26	2020-03-30 00:03:58
28	VTI 	Vanguard Total Stock Market ETF	NYSEARCA	USD	0.6136	quarterly	1.9500	2020-02-29	2020-03-31	2020-03-27	2020-03-26	2020-03-30 00:03:58
29	VIG 	Vanguard Dividend Appreciation ETF	NYSEARCA	USD	0.4740	quarterly	1.9600	2020-02-29	2020-03-31	2020-03-27	2020-03-26	2020-03-30 00:03:58
30	T 	AT&T	NYSE	USD	0.5200	quarterly	6.8800	NULL	2020-05-01	2020-04-09	2020-04-08	2020-03-30 00:03:58
31	ARI 	Apollo Commercial Real Estate Finance	NYSE	USD	0.4000	quarterly	NULL	NULL	2020-04-15	2020-03-31	2020-03-30	2020-03-30 00:03:58
32	VER 	VEREIT	NYSE	USD	0.1375	quarterly	NULL	NULL	2020-04-15	2020-03-31	2020-03-30	2020-03-30 00:03:58
33	ABCB 	Ameris Bancorp	NASDAQ	USD	0.1500	quarterly	NULL	NULL	2020-04-10	2020-03-31	2020-03-30	2020-03-30 00:03:58
34	ABB 	ABB	NYSE	CHF	0.8000	annual	NULL	NULL	NULL	2020-03-31	2020-03-30	2020-03-30 00:03:58
35	VYM  | VIG  | S	"As of March 25, our forecast of annual growth in dividends is down 28% in the U.S. and 22% in the EU,"??write Niels Joachim Cormsen and Ralph S. J. Koijen, both of the University of Chicago's Booth School of Business in a paper analyzing the coronavirus's impact on stock prices and growth expectations."The lower bound on the change in expected dividends is -38% in the U.S. and -49% in the EU on the 2-year horizon," they add. Lower bound is forward looking and requires neither a forecasting model nor historical data.They see signs of catch-up growth in third through 10th year.Forecast of GDP growth is down by 2.2% in the U.S. and 2.8% in the EU."News about fiscal stimulus on March 24 boosts the market and long-term growth, but did not increase short-term growth expectations," they write.The paper shows "how data on dividend futures can be used to understand why stock markets fell so sharply, well beyond changes in growth expectations."ETFs: VYM, VIG, SPHD, NOBL, SDY	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2020-03-30 00:03:58
36	ORCC 	Owl Rock Capital	NYSE	USD	0.3100	quarterly	NULL	NULL	NULL	2020-03-31	2020-03-30	2020-03-30 00:03:58
37	DL 	China Distance Education	NYSE	USD	0.1450	special	NULL	NULL	2020-04-24	2020-03-31	2020-03-30	2020-03-30 00:03:58
38	BANF 	BancFirst	NASDAQ	USD	0.3200	quarterly	NULL	NULL	2020-04-15	2020-03-31	2020-03-30	2020-03-30 00:03:58
39	CLNY 	Colony Capital	NYSE	USD	0.1100	quarterly	NULL	NULL	2020-04-15	2020-03-31	2020-03-30	2020-03-30 00:03:58
40	ATAX 	America First Multifamily Investors	NASDAQ	USD	0.1250	quarterly	NULL	NULL	2020-04-30	2020-03-31	2020-03-30	2020-03-30 00:03:58
41	GFED 	Guaranty Federal Bancshares	NASDAQ	USD	0.1500	quarterly	4.1400	NULL	2020-04-17	2020-04-07	2020-04-06	2020-03-30 00:03:58
42	AYI 	Acuity Brands	NYSE	USD	0.1300	quarterly	0.6100	NULL	2020-05-01	2020-04-17	2020-04-16	2020-03-30 00:03:58
43	DHF 	BNY Mellon High Yield Strategies Fund	NYSE	USD	0.0215	monthly	11.7300	NULL	2020-04-24	2020-04-09	2020-04-08	2020-03-30 00:03:58
44	PWR 	Quanta Services	NYSE	USD	0.0500	quarterly	0.6600	NULL	2020-04-15	2020-04-06	2020-04-03	2020-03-30 00:03:58
45	BGCP 	BGC Partners	NASDAQ	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2020-03-30 00:03:58
46	RHDGF 	Retail Holdings	OTCPK	USD	0.5000	NULL	NULL	NULL	2020-04-15	NULL	NULL	2020-03-30 00:03:58
47	AI 	Arlington Asset Investment	NYSE	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2020-03-30 00:03:58
48	FRD 	Friedman	NYSEMKT	USD	0.0200	quarterly	1.8500	NULL	2020-05-22	2020-04-24	2020-04-23	2020-03-30 00:03:58
49	EQT 	EQT Corporation	NYSE	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2020-03-30 00:03:58
50	OXM 	Oxford Industries	NYSE	USD	0.2500	quarterly	2.4800	NULL	2020-05-01	2020-04-17	2020-04-16	2020-03-30 00:03:58
51	SAIC 	Science Applications	NYSE	USD	0.3700	quarterly	2.0700	NULL	2020-04-24	2020-04-09	2020-04-08	2020-03-30 00:03:58
52	PRGS 	Progress Software	NASDAQ	USD	0.1650	quarterly	1.8900	NULL	2020-06-15	2020-06-01	2020-05-29	2020-03-30 00:03:58
53	FUNC 	First United	NASDAQ	USD	0.1300	quarterly	4.0700	NULL	2020-05-01	2020-04-17	2020-04-16	2020-03-30 00:03:58
54	FNLC 	First Bancorp	NASDAQ	USD	0.3000	quarterly	5.7700	NULL	2020-04-20	2020-04-10	2020-04-09	2020-03-30 00:03:58
55	CSBB 	CSB Bancorp	OTCPK	USD	0.2800	quarterly	3.9900	NULL	2020-04-21	2020-04-07	2020-04-06	2020-03-30 00:03:58
56	AEO 	American Eagle Outfitters	NYSE	USD	0.1375	quarterly	6.4000	NULL	2020-05-14	2020-04-30	2020-04-29	2020-03-30 00:03:58
57	LAND 	Gladstone Land	NASDAQ	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2020-03-30 00:03:58
58	GVA 	Granite Construction	NYSE	USD	0.1300	quarterly	3.7400	NULL	2020-04-15	2020-03-31	2020-03-30	2020-03-30 00:03:58
59	UBFO 	United Security Bancshares	NASDAQ	USD	0.1100	quarterly	6.4700	NULL	2020-04-15	2020-04-06	2020-04-03	2020-03-30 00:03:58
60	ACU 	Acme United	NYSEMKT	USD	0.1200	quarterly	2.5900	NULL	2020-04-27	2020-04-06	2020-04-03	2020-03-30 00:03:58
61	CIB 	Bancolombia	NYSE	USD	0.7510	quarterly	NULL	NULL	2020-04-13	2020-03-30	2020-03-27	2020-03-30 00:03:58
62	BCH 	Banco de Chile	NYSE	USD	0.5130	annual	NULL	NULL	NULL	2020-03-30	2020-03-27	2020-03-30 00:03:58
63	NVO 	Novo Nordisk	NYSE	DKK	5.3500	final	NULL	NULL	2020-04-07	2020-03-30	2020-03-27	2020-03-30 00:03:58
64	BKSC 	Bank of South Carolina	NASDAQ	USD	0.1600	quarterly	4.7000	NULL	2020-04-30	2020-04-06	2020-04-03	2020-03-30 00:03:58
65	GORO 	Gold Resource	NYSEMKT	USD	0.0033	monthly	1.3600	NULL	2020-04-23	2020-04-13	2020-04-10	2020-03-30 00:03:58
66	PK 	Park Hotels & Resorts	NYSE	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2020-03-30 00:03:58
67	CAGDF 	Centerra Gold	OTCPK	CAD	0.0400	interim	NULL	NULL	2020-04-22	2020-04-08	2020-04-07	2020-03-30 00:03:58
68	WSG 	Source: Press Release	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2020-03-30 00:03:58
69	GEL 	Genesis Energy	NYSE	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2020-03-30 00:03:58
70	MOV 	Movado	NYSE	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2020-03-30 00:03:58
71	GPMT 	Granite Point Mortgage Trust's	NYSE	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2020-03-30 00:03:58
72	EGBN 	Eagle	NASDAQ	USD	0.2200	quarterly	2.9300	NULL	2020-04-30	2020-04-15	2020-04-14	2020-03-30 00:03:58
73	CVBF 	CVB Financial	NASDAQ	USD	0.1800	quarterly	3.9700	NULL	2020-04-22	2020-04-08	2020-04-07	2020-03-30 00:03:58
74	MFA 	MFA Financial	NYSE	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2020-03-30 00:03:58
75	SCVL 	Shoe Carnival	NASDAQ	USD	0.0850	quarterly	1.6900	NULL	2020-04-20	2020-04-06	2020-04-03	2020-03-30 00:03:58
76	DCF 	Dreyfus Alcentra Global Credit Income 2024 Target Term Fund	NYSE	USD	0.0540	monthly	10.6700	NULL	2020-04-23	2020-04-08	2020-04-07	2020-03-30 00:03:58
77	ISTR 	Investar	NASDAQ	USD	0.0600	quarterly	2.1900	NULL	2020-04-30	2020-04-06	2020-04-03	2020-03-30 00:03:58
78	PYCFF 	Mount Logan Capital	OTC	CAD	0.0200	quarterly	2.5100	NULL	2020-04-28	2020-04-14	2020-04-13	2020-03-30 00:03:58
79	GBCI 	Glacier Bancorp	NASDAQ	USD	0.2900	quarterly	3.6100	NULL	2020-04-16	2020-04-07	2020-04-06	2020-03-30 00:03:58
80	CPB 	Campbell Soup	NYSE	USD	0.3500	quarterly	3.2200	NULL	2020-04-27	2020-04-09	2020-04-08	2020-03-30 00:03:58
81	INN 	Summit Hotel Properties	NYSE	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2020-03-30 00:03:58
82	NBLX 	Noble Midstream Partners	NASDAQ	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2020-03-30 00:03:58
83	SBRA 	Sabra Health Care REIT	NASDAQ	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2020-03-30 00:03:58
84	CWYUF 	SmartCentres REIT	OTCPK	CAD	0.1542	monthly	10.0200	NULL	2020-04-15	2020-03-31	2020-03-30	2020-03-30 00:03:58
85	PMT 	PennyMac Mortgage Investment Trust	NYSE	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2020-03-30 00:03:58
86	CIO 	City Office REIT	NYSE	USD	0.1500	quarterly	8.2900	NULL	2020-04-24	2020-04-09	2020-04-08	2020-03-30 00:03:58
87	PMT 	PennyMac Mortgage Investment Trust	NYSE	USD	0.2500	quarterly	9.8100	NULL	2020-04-30	2020-04-15	2020-04-14	2020-03-30 00:03:58
88	TYBT 	Trinity Bank	OTCPK	USD	0.6400	semi annua	2.1900	NULL	2020-04-30	2020-04-15	2020-04-14	2020-03-30 00:03:58
89	HIFS 	Hingham Institution for Savings	NASDAQ	USD	0.4200	quarterly	1.1800	NULL	2020-04-15	2020-04-06	2020-04-03	2020-03-30 00:03:58
90	RBS 	The Royal Bank of Scotland	NYSE	GBP	0.0300	NULL	NULL	NULL	2020-05-04	2020-03-27	2020-03-26	2020-03-30 00:03:58
91	WOR 	Worthington	NYSE	USD	0.2400	quarterly	4.0700	NULL	2020-06-29	2020-06-15	2020-06-12	2020-03-30 00:03:58
92	PUK 	Prudential	NYSE	USD	0.2597	interim	NULL	NULL	2020-05-15	2020-03-27	2020-03-26	2020-03-30 00:03:58
93	PSO 	Pearson	NYSE	GBP	0.1350	final	NULL	NULL	NULL	2020-03-27	2020-03-26	2020-03-30 00:03:58
94	BTI  | BATMF  |	British American Tobacco	NYSE	USD	0.6720	quarterly	NULL	NULL	2020-05-18	2020-03-27	2020-03-26	2020-03-30 00:03:58
95	ALCO 	Alico	NASDAQ	USD	0.0900	quarterly	NULL	NULL	2020-04-10	2020-03-27	2020-03-26	2020-03-30 00:03:58
96	ESLT 	Elbit Systems	NASDAQ	USD	0.4400	quarterly	1.4500	NULL	2020-04-20	2020-04-06	2020-04-03	2020-03-30 00:03:58
97	AGFMF 	AGF Management	OTCPK	CAD	0.0800	quarterly	12.4200	NULL	2020-04-20	2020-04-10	2020-04-09	2020-03-30 00:03:58
98	BANR 	Banner	NASDAQ	USD	0.4100	quarterly	5.2200	NULL	2020-04-17	2020-04-08	2020-04-07	2020-03-30 00:03:58
99	SOMC 	Southern Michigan	OTCPK	USD	0.2300	quarterly	3.3800	NULL	2020-04-24	2020-04-10	2020-04-09	2020-03-30 00:03:58
100	SLG.PI 	SL Green Realty Corp. PFD SER I	NYSE	USD	0.4063	quarterly	7.1800	NULL	2020-04-15	2020-03-31	2020-03-30	2020-03-30 00:03:58
101	SLG 	SL Green Realty	NYSE	USD	0.2950	monthly	7.5100	NULL	2020-04-15	2020-03-31	2020-03-30	2020-03-30 00:03:58
102	MIELY  | MIELF 	Mitsubishi Electric	OTCPK	NULL	2.0000	NULL	NULL	NULL	NULL	NULL	NULL	2020-03-30 00:03:58
103	TWO 	"As a result of the volatile market conditions related to the COVID-19 pandemic," Two Harbors	NYSE	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2020-03-30 00:03:58
104	SCS 	Steelcase	NYSE	USD	0.0700	quarterly	2.9600	NULL	2020-04-17	2020-04-03	2020-04-02	2020-03-30 00:03:58
105	WSBF 	Waterstone Financial	NASDAQ	USD	0.1200	quarterly	3.6300	NULL	2020-05-01	2020-04-10	2020-04-09	2020-03-30 00:03:58
106	FBVA 	Farmers Bankshares	OTCPK	USD	0.1200	quarterly	3.4900	NULL	2020-04-15	2020-04-01	2020-03-31	2020-03-30 00:03:58
107	LMNR 	Limoneira Company	NASDAQ	USD	0.0750	quarterly	2.2000	NULL	2020-04-17	2020-04-06	2020-04-03	2020-03-30 00:03:58
108	DVDDF 	Dividend 15 Split Corp. II	OTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2020-03-30 00:03:58
109	CNDCF 	Canadian Banc Corp.	OTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2020-03-30 00:03:58
110	DVSPF 	Dividend 15 Split Corp.	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2020-03-30 00:03:58
111	FNNCF 	Financial 15 Split Corp.	OTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2020-03-30 00:03:58
