id	        Ticker        	 Exchange 	Currency	 Dividend 	Distribution	 Yield  	30-Day SEC	 Payable  	  Record  	Ex-Dividend 	Timestamp 	          Fund           
1  	ANH                   	NYSE    	        	         	            	      	          	          	          	          	2020-04-03 18:54    	Anworth Mortgage Asset                                                     
2  	OLGRF                 	OTC     	     USD	   0.2300	monthly     	 8.670	          	2020-04-30	2020-04-21	2020-04-20	2020-04-03 17:03    	Olympia Financial Group                                                    
3  	RA                    	NYSE    	     USD	   0.1990	monthly     	17.240	          	2020-06-25	          	          	2020-04-03 16:54    	Brookfield Real Assets Income Fund                                         
4  	FSP                   	NYSEMKT 	     USD	   0.0900	quarterly   	 7.420	          	2020-05-07	2020-04-17	2020-04-16	2020-04-03 16:51    	Franklin Street Properties                                                 
5  	IBKCO                 	NASDAQ  	     USD	   0.4125	quarterly   	 8.250	          	2020-05-01	2020-04-16	2020-04-15	2020-04-03 16:18    	IBERIABANK Deposit Shs Repr 1/400th Non-Cum Perp Pfd Shs Series C?         
6  	BPT                   	NYSE    	       Q	   1.0000	            	      	          	          	          	          	2020-04-03 16:15    	BP Prudhoe Bay Royalty Trust                                               
7  	MAV                   	NYSE    	     USD	   0.0375	monthly     	 4.720	          	2020-04-30	2020-04-16	2020-04-15	2020-04-03 16:11    	Pioneer Municipal High Income Advantage Trust                              
8  	PHD                   	NYSE    	     USD	   0.0625	monthly     	 9.990	          	2020-04-30	2020-04-16	2020-04-15	2020-04-03 16:10    	Pioneer Floating Rate Trust                                                
9  	HNW                   	NYSEMKT 	     USD	   0.0950	monthly     	11.530	          	2020-04-30	2020-04-16	2020-04-15	2020-04-03 16:10    	Pioneer Diversified High Income Trust                                      
10 	MVO                   	NYSE    	     USD	   0.2050	quarterly   	29.760	          	2020-04-24	2020-04-15	2020-04-14	2020-04-03 16:10    	MV Oil Trust                                                               
11 	PHT                   	NYSE    	     USD	   0.0675	monthly     	13.610	          	2020-04-30	2020-04-16	2020-04-15	2020-04-03 16:09    	Pioneer High Income Trust                                                  
12 	MHI                   	NYSE    	     USD	   0.0450	monthly     	 5.210	          	2020-04-30	2020-04-16	2020-04-15	2020-04-03 16:09    	Pioneer Municipal High Income Trust                                        
13 	NKX                   	NYSE    	     USD	   0.0515	monthly     	 4.680	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 14:22    	Nuveen California AMT-Free Municipal Income Fund?                          
14 	NAC                   	NYSE    	     USD	   0.0520	monthly     	 4.820	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 14:21    	Nuveen CA Dividend Advantage Muni. Fund                                    
15 	NYV                   	NYSE    	     USD	   0.0275	monthly     	 2.540	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 14:20    	Nuveen New York Municipal Value Fund 2                                     
16 	NNY                   	NYSE    	     USD	   0.0280	monthly     	 3.760	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 14:19    	Nuveen New York Municipal Value Fund                                       
17 	NXN                   	NYSE    	     USD	   0.0395	monthly     	 3.810	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 14:19    	Nuveen New York Select Tax-Free Income Portfolio                           
18 	NAN                   	NYSE    	     USD	   0.0480	monthly     	 4.660	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 14:18    	Nuveen New York Dividend Advantage Municipal Fund                          
19 	NRK                   	NYSE    	     USD	   0.0450	monthly     	 4.590	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 14:17    	Nuveen New York AMT-Free Municipal Income Fund                             
20 	NCB                   	NYSE    	     USD	   0.0345	monthly     	 2.860	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 14:16    	Nuveen California Municipal Value Fund 2                                   
21 	NXC                   	NYSE    	     USD	   0.0437	monthly     	 3.690	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 14:15    	Nuveen California Select Tax-Free Income Portfolio                         
22 	NCA                   	NYSE    	     USD	   0.0265	monthly     	 3.380	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 14:13    	Nuveen California Municipal Value Fund                                     
23 	ONVC                  	OTCQX   	        	         	            	      	          	          	          	          	2020-04-03 13:37    	Online Vacation Center                                                     
24 	MLHR                  	        	J       	16,202,01	            	      	          	          	          	          	2020-04-03 13:25    	Herman Miller                                                              
25 	STZ.B                 	NYSE    	     USD	   0.6800	quarterly   	 2.090	          	2020-05-19	2020-05-05	2020-05-04	2020-04-03 12:32    	Constellation Brands                                                       
26 	STZ                   	NYSE    	     USD	   0.7500	quarterly   	 2.380	          	2020-05-19	2020-05-05	2020-05-04	2020-04-03 12:31    	Constellation Brands                                                       
27 	JSD                   	NYSE    	     USD	   0.0875	monthly     	10.050	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 11:18    	Nuveen Short Duration Credit Opportunities Fund                            
28 	JRO                   	NYSE    	     USD	   0.0560	monthly     	 9.630	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 11:17    	Nuveen Floating Rate Income Opportunity Fund                               
29 	JFR                   	NYSE    	     USD	   0.0570	monthly     	 9.670	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 11:15    	Nuveen Floating Rate Income Fund                                           
30 	NSL                   	NYSE    	     USD	   0.0350	monthly     	10.080	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 11:14    	Nuveen Senior Income Fund                                                  
31 	JPI                   	NYSE    	     USD	   0.1305	monthly     	 9.170	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 11:13    	Nuveen Preferred &amp; Income Term Fund                                    
32 	JPS                   	NYSE    	     USD	   0.0505	monthly     	 9.200	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 11:12    	Nuveen Preferred &amp; Income Securities Fund                              
33 	JPT                   	NYSE    	     USD	   0.1185	monthly     	 7.540	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 11:10    	The Nuveen Preferred and Income 2022 Term Fund                             
34 	JPC                   	NYSE    	     USD	   0.0530	monthly     	 9.740	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 11:09    	Nuveen Preferred &amp; Income Opportunities Fund                           
35 	NPV                   	NYSE    	     USD	   0.0435	monthly     	 4.210	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 11:04    	Nuveen Virginia Quality Municipal Income Fund                              
36 	NPN                   	NYSE    	     USD	   0.0305	monthly     	 2.860	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 11:02    	Nuveen Pennsylvania Municipal Value Fund                                   
37 	NQP                   	NYSE    	     USD	   0.0505	monthly     	 4.850	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 11:01    	Nuveen Pennsylvania Investment Quality Municipal Fund                      
38 	NMCO                  	NYSE    	     USD	   0.0525	monthly     	 5.250	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 10:57    	Nuveen Municipal Credit Opportunities Fund                                 
39 	NVG                   	NYSE    	     USD	   0.0655	monthly     	 5.750	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 10:54    	Nuveen AMT-Free Municipal Credit Income Fund                               
40 	NEA                   	NYSE    	     USD	   0.0535	monthly     	 5.000	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 10:53    	Nuveen AMT-Free Quality Municipal Income Fund                              
41 	NUO                   	NYSE    	     USD	   0.0440	monthly     	 3.770	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 10:48    	Nuveen Ohio Quality Municipal Income Fund                                  
42 	NJV                   	NYSE    	     USD	   0.0310	monthly     	 2.970	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 10:47    	Nuveen New Jersey Municipal Value Fund                                     
43 	NXJ                   	NYSE    	     USD	   0.0515	monthly     	 4.870	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 10:46    	Nuveen New Jersey Quality Municipal Income Fund                            
44 	NMS                   	NYSE    	     USD	   0.0445	monthly     	 4.360	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 10:42    	Nuveen Minnesota Quality Municipal Income Fund                             
45 	NOM                   	NYSE    	     USD	   0.0360	monthly     	 3.310	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 10:41    	Nuveen Missouri Quality Municipal Income Fund                              
46 	NSRGY  | NSRGF        	OTCPK   	        	         	            	      	          	          	          	          	2020-04-03 10:39    	Nestle                                                                     
47 	NUM                   	NYSE    	     USD	   0.0445	monthly     	 4.170	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 10:39    	Nuveen Michigan Quality Income Municipal Fund                              
48 	NAD                   	NYSE    	     USD	   0.0535	monthly     	 4.970	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 10:38    	Nuveen Quality Municipal Income Fund                                       
49 	NMY                   	NYSE    	     USD	   0.0440	monthly     	 4.430	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 10:37    	Nuveen Maryland Premium Income Municipal Fund                              
50 	NHA                   	NYSE    	     USD	   0.0130	monthly     	 1.640	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 10:36    	Nuveen Municipal 2021 Target Term Fund                                     
51 	NIQ                   	NYSE    	     USD	   0.0315	monthly     	 2.910	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 10:35    	Nuveen In termediate Duration Quality Municipal Term Fund                  
52 	NID                   	NYSE    	     USD	   0.0425	monthly     	 4.130	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 10:32    	Nuveen Intermediate Duration Municipal Term Fund                           
53 	NEV                   	NYSE    	     USD	   0.0565	monthly     	 5.270	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 10:31    	Nuveen Enhanced Municipal Value Fund                                       
54 	NMT                   	NYSE    	     USD	   0.0410	monthly     	 3.850	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 10:29    	Nuveen Massachusetts Premium Income Municipal Fund                         
55 	NMZ                   	NYSE    	     USD	   0.0595	monthly     	 6.170	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 10:29    	Nuveen Municipal High Income Opportunity Fund                              
56 	NKG                   	NYSE    	     USD	   0.0370	monthly     	 3.930	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 10:27    	Nuveen Georgia Dividend Advantage Municipal Funds 2                        
57 	JEMD                  	NYSE    	     USD	   0.0375	monthly     	 7.790	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 10:27    	Nuveen Emerging Markets Debt 2022 Target Term Fund                         
58 	JQC                   	NYSE    	     USD	   0.0884	monthly     	19.150	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 10:25    	Nuveen Credit Strategies Income Fund                                       
59 	NAZ                   	NYSE    	     USD	   0.0438	monthly     	 4.430	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 10:25    	Nuveen Arizona Premium Income Municipal Fund                               
60 	JRI                   	NYSE    	     USD	   0.0965	monthly     	12.540	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 10:21    	Nuveen Real Asset Income &amp; Growth Fund                                 
61 	JLS                   	NYSE    	     USD	   0.0910	monthly     	 6.480	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 10:19    	Nuveen Mortgage and Income Fund                                            
62 	JHB                   	NYSE    	     USD	   0.0370	monthly     	 5.330	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 10:18    	Nuveen High Income November 2021 Target Term Fund                          
63 	JHAA                  	NYSE    	     USD	   0.0480	monthly     	 6.930	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 10:17    	Nuveen High Income 2023 Target Term Fund                                   
64 	JCO                   	NYSE    	     USD	   0.0470	monthly     	 7.330	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 10:14    	Nuveen Credit Opportunities 2022 Target Term Fund                          
65 	JHY                   	NYSE    	     USD	   0.0160	monthly     	 2.160	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 10:09    	Nuveen High Income 2020 Target Term Fund                                   
66 	JGH                   	NYSE    	     USD	   0.1020	monthly     	11.010	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 10:07    	Nuveen Global High Income Fund                                             
67 	SBR                   	NYSE    	     USD	   0.2582	monthly     	11.460	          	2020-04-29	2020-04-15	2020-04-14	2020-04-03 09:56    	Sabine Royalty Trust                                                       
68 	NBB                   	NYSE    	     USD	   0.0925	monthly     	 6.000	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 09:55    	Nuveen Taxable Municipal Income Fund                                       
69 	NEV                   	NYSE    	     USD	   0.0565	monthly     	 5.360	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 09:54    	Nuveen Enhanced Municipal Value Fund                                       
70 	NMZ                   	NYSE    	     USD	   0.0595	monthly     	 6.110	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 09:54    	Nuveen Municipal High Income Opportunity Fund                              
71 	NIM                   	NYSE    	     USD	   0.0265	monthly     	 3.330	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 09:54    	Nuveen Select Maturities Municipal Fund                                    
72 	NMI                   	NYSE    	     USD	   0.0330	monthly     	 3.700	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 09:53    	Nuveen Municipal Income Fund                                               
73 	JMM                   	NYSE    	     USD	   0.0270	monthly     	 5.380	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 09:53    	Nuveen Multi-Market Income Fund                                            
74 	NZF                   	NYSE    	     USD	   0.0625	monthly     	 5.630	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 09:53    	Nuveen Municipal Credit Income Fund                                        
75 	SPE                   	NYSE    	     USD	   0.0940	monthly     	12.620	          	2020-06-30	2020-06-19	2020-06-18	2020-04-03 09:50    	Special Opportunities Fund                                                 
