id	        Ticker        	 Exchange 	Currency	 Dividend 	Distribution	 Yield  	30-Day SEC	 Payable  	  Record  	Ex-Dividend 	Timestamp 	          Fund           
1  	AMZA                  	NYSEARCA	     USD	   0.2500	monthly     	23.220	          	2020-04-28	2020-04-21	2020-04-20	2020-04-17 18:09    	InfraCap MLP ETF                                                           
2  	PFFA                  	NYSEARCA	     USD	   0.1500	monthly     	11.130	          	2020-04-28	2020-04-21	2020-04-20	2020-04-17 17:59    	Virtus InfraCap U.S. Preferred Stock ETF                                   
3  	PFFR                  	NYSEARCA	     USD	   0.1200	monthly     	 7.570	          	2020-04-28	2020-04-21	2020-04-20	2020-04-17 17:56    	InfraCap REIT Preferred ETF                                                
4  	WPTIF                 	OTCQX   	     USD	   0.0633	monthly     	 7.060	          	2020-05-15	2020-04-30	2020-04-29	2020-04-17 17:17    	WPT Industrial REIT                                                        
5  	GRP.U                 	NYSE    	     CAD	   0.2420	monthly     	 4.810	          	2020-05-15	2020-04-30	2020-04-29	2020-04-17 17:10    	Granite Real Estate Investment                                             
6  	PSEC                  	NASDAQ  	'       	102,020,3	            	      	1969-12-31	          	          	          	2020-04-17 16:53    	Under the amended plan, Prospect Capital                                   
7  	VALU                  	NASDAQ  	     USD	   0.2100	quarterly   	 2.720	          	2020-05-11	2020-04-27	2020-04-24	2020-04-17 16:36    	Value Line                                                                 
8  	CHK                   	NYSE    	        	         	            	      	          	          	          	          	2020-04-17 16:28    	Chesapeake Energy                                                          
9  	PVL                   	NYSE    	     USD	   0.0290	monthly     	23.510	          	2020-05-12	2020-04-30	2020-04-29	2020-04-17 16:23    	Permianville Royalty Trust                                                 
10 	VOC                   	NYSE    	     USD	   0.0300	quarterly   	 6.250	          	2020-05-15	2020-04-30	2020-04-29	2020-04-17 16:21    	VOC Energy Trust                                                           
11 	SWK                   	NYSE    	     USD	   0.6900	quarterly   	 2.450	          	2020-06-16	2020-06-02	2020-06-01	2020-04-17 15:10    	Stanley Black &amp; Decker                                                 
