id	ticker	fund	exchange	currency	dividend	distribution	yield	sec	payable	record	ex_dividend	created
1	ANH 	Anworth Mortgage Asset	NYSE	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2020-04-04 11:55:44
2	OLGRF 	Olympia Financial Group	OTC	USD	0.2300	monthly	8.6700	NULL	2020-04-30	2020-04-21	2020-04-20	2020-04-04 11:55:44
3	RA 	Brookfield Real Assets Income Fund	NYSE	USD	0.1990	monthly	17.2400	NULL	2020-06-25	NULL	NULL	2020-04-04 11:55:44
4	FSP 	Franklin Street Properties	NYSEMKT	USD	0.0900	quarterly	7.4200	NULL	2020-05-07	2020-04-17	2020-04-16	2020-04-04 11:55:44
5	IBKCO 	IBERIABANK Deposit Shs Repr 1/400th Non-Cum Perp Pfd Shs Series C?	NASDAQ	USD	0.4125	quarterly	8.2500	NULL	2020-05-01	2020-04-16	2020-04-15	2020-04-04 11:55:44
6	BPT 	BP Prudhoe Bay Royalty Trust	NYSE	Q	1.0000	NULL	NULL	NULL	NULL	NULL	NULL	2020-04-04 11:55:44
7	MAV 	Pioneer Municipal High Income Advantage Trust	NYSE	USD	0.0375	monthly	4.7200	NULL	2020-04-30	2020-04-16	2020-04-15	2020-04-04 11:55:44
8	PHD 	Pioneer Floating Rate Trust	NYSE	USD	0.0625	monthly	9.9900	NULL	2020-04-30	2020-04-16	2020-04-15	2020-04-04 11:55:44
9	HNW 	Pioneer Diversified High Income Trust	NYSEMKT	USD	0.0950	monthly	11.5300	NULL	2020-04-30	2020-04-16	2020-04-15	2020-04-04 11:55:44
10	MVO 	MV Oil Trust	NYSE	USD	0.2050	quarterly	29.7600	NULL	2020-04-24	2020-04-15	2020-04-14	2020-04-04 11:55:44
11	PHT 	Pioneer High Income Trust	NYSE	USD	0.0675	monthly	13.6100	NULL	2020-04-30	2020-04-16	2020-04-15	2020-04-04 11:55:44
12	MHI 	Pioneer Municipal High Income Trust	NYSE	USD	0.0450	monthly	5.2100	NULL	2020-04-30	2020-04-16	2020-04-15	2020-04-04 11:55:44
13	NKX 	Nuveen California AMT-Free Municipal Income Fund?	NYSE	USD	0.0515	monthly	4.6800	NULL	2020-05-01	2020-04-15	2020-04-14	2020-04-04 11:55:44
14	NAC 	Nuveen CA Dividend Advantage Muni. Fund	NYSE	USD	0.0520	monthly	4.8200	NULL	2020-05-01	2020-04-15	2020-04-14	2020-04-04 11:55:44
15	NYV 	Nuveen New York Municipal Value Fund 2	NYSE	USD	0.0275	monthly	2.5400	NULL	2020-05-01	2020-04-15	2020-04-14	2020-04-04 11:55:44
16	NNY 	Nuveen New York Municipal Value Fund	NYSE	USD	0.0280	monthly	3.7600	NULL	2020-05-01	2020-04-15	2020-04-14	2020-04-04 11:55:44
17	NXN 	Nuveen New York Select Tax-Free Income Portfolio	NYSE	USD	0.0395	monthly	3.8100	NULL	2020-05-01	2020-04-15	2020-04-14	2020-04-04 11:55:44
18	NAN 	Nuveen New York Dividend Advantage Municipal Fund	NYSE	USD	0.0480	monthly	4.6600	NULL	2020-05-01	2020-04-15	2020-04-14	2020-04-04 11:55:44
19	NRK 	Nuveen New York AMT-Free Municipal Income Fund	NYSE	USD	0.0450	monthly	4.5900	NULL	2020-05-01	2020-04-15	2020-04-14	2020-04-04 11:55:44
20	NCB 	Nuveen California Municipal Value Fund 2	NYSE	USD	0.0345	monthly	2.8600	NULL	2020-05-01	2020-04-15	2020-04-14	2020-04-04 11:55:44
21	NXC 	Nuveen California Select Tax-Free Income Portfolio	NYSE	USD	0.0437	monthly	3.6900	NULL	2020-05-01	2020-04-15	2020-04-14	2020-04-04 11:55:44
22	NCA 	Nuveen California Municipal Value Fund	NYSE	USD	0.0265	monthly	3.3800	NULL	2020-05-01	2020-04-15	2020-04-14	2020-04-04 11:55:44
23	ONVC 	Online Vacation Center	OTCQX	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2020-04-04 11:55:44
24	MLHR 	Herman Miller	NULL	J         	16.0000	NULL	NULL	NULL	NULL	NULL	NULL	2020-04-04 11:55:44
25	STZ.B 	Constellation Brands	NYSE	USD	0.6800	quarterly	2.0900	NULL	2020-05-19	2020-05-05	2020-05-04	2020-04-04 11:55:44
26	STZ 	Constellation Brands	NYSE	USD	0.7500	quarterly	2.3800	NULL	2020-05-19	2020-05-05	2020-05-04	2020-04-04 11:55:44
27	JSD 	Nuveen Short Duration Credit Opportunities Fund	NYSE	USD	0.0875	monthly	10.0500	NULL	2020-05-01	2020-04-15	2020-04-14	2020-04-04 11:55:44
28	JRO 	Nuveen Floating Rate Income Opportunity Fund	NYSE	USD	0.0560	monthly	9.6300	NULL	2020-05-01	2020-04-15	2020-04-14	2020-04-04 11:55:44
29	JFR 	Nuveen Floating Rate Income Fund	NYSE	USD	0.0570	monthly	9.6700	NULL	2020-05-01	2020-04-15	2020-04-14	2020-04-04 11:55:44
30	NSL 	Nuveen Senior Income Fund	NYSE	USD	0.0350	monthly	10.0800	NULL	2020-05-01	2020-04-15	2020-04-14	2020-04-04 11:55:44
31	JPI 	Nuveen Preferred & Income Term Fund	NYSE	USD	0.1305	monthly	9.1700	NULL	2020-05-01	2020-04-15	2020-04-14	2020-04-04 11:55:44
32	JPS 	Nuveen Preferred & Income Securities Fund	NYSE	USD	0.0505	monthly	9.2000	NULL	2020-05-01	2020-04-15	2020-04-14	2020-04-04 11:55:44
33	JPT 	The Nuveen Preferred and Income 2022 Term Fund	NYSE	USD	0.1185	monthly	7.5400	NULL	2020-05-01	2020-04-15	2020-04-14	2020-04-04 11:55:44
34	JPC 	Nuveen Preferred & Income Opportunities Fund	NYSE	USD	0.0530	monthly	9.7400	NULL	2020-05-01	2020-04-15	2020-04-14	2020-04-04 11:55:44
35	NPV 	Nuveen Virginia Quality Municipal Income Fund	NYSE	USD	0.0435	monthly	4.2100	NULL	2020-05-01	2020-04-15	2020-04-14	2020-04-04 11:55:44
36	NPN 	Nuveen Pennsylvania Municipal Value Fund	NYSE	USD	0.0305	monthly	2.8600	NULL	2020-05-01	2020-04-15	2020-04-14	2020-04-04 11:55:44
37	NQP 	Nuveen Pennsylvania Investment Quality Municipal Fund	NYSE	USD	0.0505	monthly	4.8500	NULL	2020-05-01	2020-04-15	2020-04-14	2020-04-04 11:55:44
38	NMCO 	Nuveen Municipal Credit Opportunities Fund	NYSE	USD	0.0525	monthly	5.2500	NULL	2020-05-01	2020-04-15	2020-04-14	2020-04-04 11:55:44
39	NVG 	Nuveen AMT-Free Municipal Credit Income Fund	NYSE	USD	0.0655	monthly	5.7500	NULL	2020-05-01	2020-04-15	2020-04-14	2020-04-04 11:55:44
40	NEA 	Nuveen AMT-Free Quality Municipal Income Fund	NYSE	USD	0.0535	monthly	5.0000	NULL	2020-05-01	2020-04-15	2020-04-14	2020-04-04 11:55:44
41	NUO 	Nuveen Ohio Quality Municipal Income Fund	NYSE	USD	0.0440	monthly	3.7700	NULL	2020-05-01	2020-04-15	2020-04-14	2020-04-04 11:55:44
42	NJV 	Nuveen New Jersey Municipal Value Fund	NYSE	USD	0.0310	monthly	2.9700	NULL	2020-05-01	2020-04-15	2020-04-14	2020-04-04 11:55:44
43	NXJ 	Nuveen New Jersey Quality Municipal Income Fund	NYSE	USD	0.0515	monthly	4.8700	NULL	2020-05-01	2020-04-15	2020-04-14	2020-04-04 11:55:44
44	NMS 	Nuveen Minnesota Quality Municipal Income Fund	NYSE	USD	0.0445	monthly	4.3600	NULL	2020-05-01	2020-04-15	2020-04-14	2020-04-04 11:55:44
45	NOM 	Nuveen Missouri Quality Municipal Income Fund	NYSE	USD	0.0360	monthly	3.3100	NULL	2020-05-01	2020-04-15	2020-04-14	2020-04-04 11:55:44
46	NSRGY  | NSRGF 	Nestle	OTCPK	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2020-04-04 11:55:44
47	NUM 	Nuveen Michigan Quality Income Municipal Fund	NYSE	USD	0.0445	monthly	4.1700	NULL	2020-05-01	2020-04-15	2020-04-14	2020-04-04 11:55:44
48	NAD 	Nuveen Quality Municipal Income Fund	NYSE	USD	0.0535	monthly	4.9700	NULL	2020-05-01	2020-04-15	2020-04-14	2020-04-04 11:55:44
49	NMY 	Nuveen Maryland Premium Income Municipal Fund	NYSE	USD	0.0440	monthly	4.4300	NULL	2020-05-01	2020-04-15	2020-04-14	2020-04-04 11:55:44
50	NHA 	Nuveen Municipal 2021 Target Term Fund	NYSE	USD	0.0130	monthly	1.6400	NULL	2020-05-01	2020-04-15	2020-04-14	2020-04-04 11:55:44
51	NIQ 	Nuveen In termediate Duration Quality Municipal Term Fund	NYSE	USD	0.0315	monthly	2.9100	NULL	2020-05-01	2020-04-15	2020-04-14	2020-04-04 11:55:44
52	NID 	Nuveen Intermediate Duration Municipal Term Fund	NYSE	USD	0.0425	monthly	4.1300	NULL	2020-05-01	2020-04-15	2020-04-14	2020-04-04 11:55:44
53	NEV 	Nuveen Enhanced Municipal Value Fund	NYSE	USD	0.0565	monthly	5.2700	NULL	2020-05-01	2020-04-15	2020-04-14	2020-04-04 11:55:44
54	NMT 	Nuveen Massachusetts Premium Income Municipal Fund	NYSE	USD	0.0410	monthly	3.8500	NULL	2020-05-01	2020-04-15	2020-04-14	2020-04-04 11:55:44
55	NMZ 	Nuveen Municipal High Income Opportunity Fund	NYSE	USD	0.0595	monthly	6.1700	NULL	2020-05-01	2020-04-15	2020-04-14	2020-04-04 11:55:44
56	NKG 	Nuveen Georgia Dividend Advantage Municipal Funds 2	NYSE	USD	0.0370	monthly	3.9300	NULL	2020-05-01	2020-04-15	2020-04-14	2020-04-04 11:55:44
57	JEMD 	Nuveen Emerging Markets Debt 2022 Target Term Fund	NYSE	USD	0.0375	monthly	7.7900	NULL	2020-05-01	2020-04-15	2020-04-14	2020-04-04 11:55:44
58	JQC 	Nuveen Credit Strategies Income Fund	NYSE	USD	0.0884	monthly	19.1500	NULL	2020-05-01	2020-04-15	2020-04-14	2020-04-04 11:55:44
59	NAZ 	Nuveen Arizona Premium Income Municipal Fund	NYSE	USD	0.0438	monthly	4.4300	NULL	2020-05-01	2020-04-15	2020-04-14	2020-04-04 11:55:44
60	JRI 	Nuveen Real Asset Income & Growth Fund	NYSE	USD	0.0965	monthly	12.5400	NULL	2020-05-01	2020-04-15	2020-04-14	2020-04-04 11:55:44
61	JLS 	Nuveen Mortgage and Income Fund	NYSE	USD	0.0910	monthly	6.4800	NULL	2020-05-01	2020-04-15	2020-04-14	2020-04-04 11:55:44
62	JHB 	Nuveen High Income November 2021 Target Term Fund	NYSE	USD	0.0370	monthly	5.3300	NULL	2020-05-01	2020-04-15	2020-04-14	2020-04-04 11:55:44
63	JHAA 	Nuveen High Income 2023 Target Term Fund	NYSE	USD	0.0480	monthly	6.9300	NULL	2020-05-01	2020-04-15	2020-04-14	2020-04-04 11:55:44
64	JCO 	Nuveen Credit Opportunities 2022 Target Term Fund	NYSE	USD	0.0470	monthly	7.3300	NULL	2020-05-01	2020-04-15	2020-04-14	2020-04-04 11:55:44
