id	        Ticker        	 Exchange 	Currency	 Dividend 	Distribution	 Yield  	30-Day SEC	 Payable  	  Record  	Ex-Dividend 	Timestamp 	          Fund           
114	MVC                   	NYSE    	     USD	   0.2000	quarterly   	 0.860	          	2020-05-14	2020-04-30	2020-04-29	2020-04-14 07:21    	First Republic Bank                                                        
115	JNJ                   	NYSE    	     USD	   0.1700	quarterly   	12.570	          	2020-04-30	2020-04-24	2020-04-23	2020-04-14 06:55    	MVC Capital                                                                
116	O                     	NYSE    	     USD	   1.0100	quarterly   	 2.890	          	2020-06-09	2020-05-26	2020-05-22	2020-04-14 06:32    	Johnson &amp; Johnson                                                      
117	MSB                   	NYSE    	     USD	   0.2330	monthly     	 4.930	          	2020-05-15	2020-05-01	2020-04-30	2020-04-14 06:03    	Realty Income                                                              
118	FAST                  	NYSE    	     USD	   0.5600	quarterly   	15.640	          	2020-05-20	2020-04-30	2020-04-29	2020-04-13 17:44    	Mesabi Trust                                                               
119	PKIUF                 	NASDAQ  	     USD	   0.2500	quarterly   	 2.970	          	2020-05-26	2020-04-28	2020-04-27	2020-04-13 17:08    	Fastenal                                                                   
120	HCAP                  	OTCPK   	     CAD	   0.1012	monthly     	 4.080	          	2020-05-15	2020-04-22	2020-04-21	2020-04-13 17:02    	Parkland Fuel                                                              
121	UNM                   	NASDAQ  	        	   0.0813	            	      	          	          	          	          	2020-04-13 16:18    	As part of its plan to preserve liquidity made uncertainty resulting from t
122	BADFF                 	NYSE    	     USD	   0.2850	quarterly   	 7.230	          	2020-05-15	2020-04-27	2020-04-24	2020-04-13 14:02    	Unum                                                                       
123	OSTK  | OSTBP  | OSTK 	OTCPK   	     CAD	   0.0500	monthly     	 2.420	          	2020-05-15	2020-04-30	2020-04-29	2020-04-13 11:28    	Badger Daylighting                                                         
124	CHCO                  	OSTK+0.4	        	         	            	      	1969-12-31	          	          	          	2020-04-13 10:33    	Overstock.com                                                              
125	BMEZ                  	NASDAQ  	     USD	   0.5700	quarterly   	      	          	2020-04-30	2020-04-15	2020-04-14	2020-04-13 10:19    	City Holding                                                               
126	ATHM                  	NYSE    	     USD	   0.1000	monthly     	      	          	2020-04-30	2020-04-15	2020-04-14	2020-04-13 10:16    	BlackRock Health Sciences Trust II                                         
127	XFLT                  	NYSE    	     USD	   0.7700	annual      	 1.070	          	2020-04-22	2020-04-15	2020-04-14	2020-04-13 10:14    	Autohome                                                                   
128	OXSQ                  	NYSE    	     USD	   0.0600	monthly     	      	          	2020-05-01	2020-04-15	2020-04-14	2020-04-13 10:08    	XAI Octagon Floating Rate &amp; Alternative Income Term Trust              
129	EXP                   	NASDAQ  	     USD	   0.0670	monthly     	      	          	2020-06-30	2020-06-15	2020-06-12	2020-04-13 10:04    	Oxford Square Capital                                                      
130	FMN                   	        	        	         	            	      	          	          	          	          	2020-04-13 09:43    	Eagle Materials                                                            
131	RILYP                 	NYSE    	     USD	   0.0500	monthly     	 4.660	          	2020-05-01	2020-04-23	2020-04-22	2020-04-13 09:40    	Federated Premier Municipal Income Fund                                    
132	USA                   	NASDAQ  	     USD	   0.4297	quarterly   	 9.240	          	2020-04-30	2020-04-23	2020-04-22	2020-04-13 09:38    	B. Riley Financial Series A Cum Ppptl Pref Stk                             
133	ATGFF                 	NYSE    	     USD	   0.1400	quarterly   	10.470	          	2020-06-08	2020-04-24	2020-04-23	2020-04-13 09:36    	Liberty All-Star Equity Fund                                               
134	ASG                   	OTCPK   	     CAD	   0.0800	monthly     	 6.410	          	2020-05-15	2020-04-27	2020-04-24	2020-04-13 09:36    	AltaGas                                                                    
135	GBDC                  	NYSE    	     USD	   0.1100	quarterly   	 8.680	          	2020-06-08	2020-04-24	2020-04-23	2020-04-13 09:35    	Liberty All-Star Growth Fund                                               
136	OHI                   	NASDAQ  	     USD	   0.2900	quarterly   	 9.360	          	2020-06-29	2020-06-09	2020-06-08	2020-04-13 08:36    	Golub Capital BDC                                                          
137	GBDC                  	NYSE    	     USD	   0.6700	quarterly   	 7.750	          	2020-05-15	2020-04-30	2020-04-29	2020-04-13 08:32    	Omega Healthcare Investors                                                 
138	GEL                   	NASDAQ  	        	         	            	      	          	          	          	          	2020-04-13 08:32    	Golub Capital BDC                                                          
139	GFNCP                 	NYSE    	     USD	   0.1500	            	12.020	          	2020-05-15	2020-05-01	2020-04-30	2020-04-13 07:34    	Genesis Energy                                                             
140	BRMK                  	NASDAQ  	     USD	   2.2500	quarterly   	 9.780	          	2020-04-30	2020-04-29	2020-04-28	2020-04-13 07:28    	General Finance Corp Cum Red Perp Pfd Shs Series C                         
141	GLBZ                  	NYSE    	     USD	   0.0600	monthly     	 9.170	          	2020-05-15	2020-04-30	2020-04-29	2020-04-13 07:08    	Broadmark Realty Capital                                                   
142	RNST                  	NASDAQ  	     USD	   0.1000	quarterly   	 4.380	          	2020-05-01	2020-04-20	2020-04-17	2020-04-13 06:07    	Glen Burnie Bancorp                                                        
143	NSEC                  	NASDAQ  	     USD	   0.2200	quarterly   	 3.460	          	2020-06-30	2020-06-16	2020-06-15	2020-04-13 06:07    	Renasant                                                                   
144	FRHLF                 	NASDAQ  	     USD	   0.0600	quarterly   	 1.600	1969-12-31	2020-05-29	2020-05-04	2020-05-01	2020-04-13 06:06    	National Security Group                                                    
145	FTV                   	OTCPK   	     CAD	   0.0150	monthly     	 4.650	          	2020-05-15	2020-04-30	2020-04-29	2020-04-09 18:05    	Freehold Royalties                                                         
146	KEYUF                 	NYSE    	     USD	   0.0700	quarterly   	 0.460	          	2020-06-26	2020-05-29	2020-05-28	2020-04-09 17:42    	Fortive                                                                    
147	FEN                   	OTC     	     CAD	   0.1600	monthly     	12.500	          	2020-05-15	2020-04-22	2020-04-21	2020-04-09 17:01    	Keyera                                                                     
