id	        Ticker        	 Exchange 	Currency	 Dividend 	Distribution	 Yield  	30-Day SEC	 Payable  	  Record  	Ex-Dividend 	Timestamp 	          Fund           
1  	FRHLF                 	OTCPK   	     CAD	   0.0150	monthly     	 4.650	          	2020-05-15	2020-04-30	2020-04-29	2020-04-09 18:05    	Freehold Royalties                                                         
2  	FTV                   	NYSE    	     USD	   0.0700	quarterly   	 0.460	          	2020-06-26	2020-05-29	2020-05-28	2020-04-09 17:42    	Fortive                                                                    
3  	KEYUF                 	OTC     	     CAD	   0.1600	monthly     	12.500	          	2020-05-15	2020-04-22	2020-04-21	2020-04-09 17:01    	Keyera                                                                     
4  	FEN                   	NYSEMKT 	     USD	   0.5800	quarterly   	22.590	          	2020-04-30	2020-04-23	2020-04-22	2020-04-09 16:51    	First Trust Energy Income&amp;Growth Fund                                  
5  	SJR                   	NYSE    	     CAD	   0.0985	monthly     	 5.190	          	2020-08-12	2020-08-12	2020-08-12	2020-04-09 16:45    	Shaw Communications                                                        
6  	IGR                   	NYSE    	     USD	   0.0500	monthly     	10.270	          	2020-04-30	2020-04-20	2020-04-17	2020-04-09 16:35    	CBRE Clarion Global Real Estate Income Fund                                
7  	AWP                   	NYSE    	     USD	   0.0400	monthly     	10.670	          	2020-04-30	2020-04-20	2020-04-17	2020-04-09 16:33    	Aberdeen Global Premier Properties Fund                                    
8  	LNT                   	NASDAQ  	     USD	   0.3800	quarterly   	 2.860	          	2020-05-15	2020-04-30	2020-04-29	2020-04-09 16:32    	Alliant Energy                                                             
9  	FCO                   	NYSEMKT 	     USD	   0.0700	monthly     	13.950	          	2020-04-30	2020-04-20	2020-04-17	2020-04-09 16:31    	Aberdeen Global Income Fund                                                
10 	FAX                   	NYSEMKT 	     USD	   0.0275	monthly     	 9.350	          	2020-04-30	2020-04-20	2020-04-17	2020-04-09 16:30    	Aberdeen Asia-Pacific Income Fund                                          
11 	ACP                   	NYSE    	     USD	   0.1200	monthly     	18.490	          	2020-04-30	2020-04-20	2020-04-17	2020-04-09 16:29    	Aberdeen Income Credit Strategies Fund                                     
12 	AGD                   	NYSE    	     USD	   0.0650	monthly     	 9.650	          	2020-04-30	2020-04-20	2020-04-17	2020-04-09 16:28    	Aberdeen Global Dynamic Dividend Fund                                      
13 	AOD                   	NYSE    	     USD	   0.0575	monthly     	 9.690	          	2020-04-30	2020-04-20	2020-04-17	2020-04-09 16:27    	Aberdeen Total Dynamic Dividend Fund                                       
14 	NWN                   	NYSE    	     USD	   0.4775	quarterly   	 2.920	          	2020-05-15	2020-04-30	2020-04-29	2020-04-09 16:26    	Northwest Natural Holding                                                  
15 	EQC.PD                	NYSE    	     USD	   0.4063	quarterly   	 6.160	          	2020-05-15	2020-04-29	2020-04-28	2020-04-09 16:22    	Equity Commonwealth Cum Conv Pfd Shs Series D                              
16 	SB.PD                 	NYSE    	     USD	   0.5000	quarterly   	12.790	          	2020-04-30	2020-04-23	2020-04-22	2020-04-09 16:16    	Safe Bulkers Cum Red Perp Pfd Shs Series D                                 
17 	AGX                   	NYSE    	     USD	   0.2500	quarterly   	 2.640	          	2020-04-30	2020-04-22	2020-04-21	2020-04-09 16:16    	Argan                                                                      
18 	SB.PC                 	NYSE    	     USD	   0.5000	quarterly   	12.800	          	2020-04-30	2020-04-23	2020-04-22	2020-04-09 16:16    	Safe Bulkers Cum Red Perp Pfd Shs Series C                                 
19 	PEO                   	NYSE    	     USD	   0.1000	quarterly   	 4.050	          	2020-06-01	2020-05-18	2020-05-15	2020-04-09 16:15    	Adams Natural Resources Fund                                               
20 	ADX                   	NYSE    	     USD	   0.0500	quarterly   	 1.470	          	2020-06-01	2020-05-18	2020-05-15	2020-04-09 16:14    	Adams Diversified Equity Fund                                              
21 	COKE                  	NASDAQ  	     USD	   0.2500	quarterly   	 0.400	          	2020-05-07	2020-04-23	2020-04-22	2020-04-09 16:12    	Coca-Cola Consolidated                                                     
22 	KBH                   	NYSE    	     USD	   0.0900	quarterly   	 1.590	          	2020-05-21	2020-05-07	2020-05-06	2020-04-09 16:11    	KB Home                                                                    
