id	        Ticker        	 Exchange 	Currency	 Dividend 	Distribution	 Yield  	30-Day SEC	 Payable  	  Record  	Ex-Dividend 	Timestamp 	          Fund           
1  	ONVC                  	OTCQX   	        	         	            	      	          	          	          	          	2020-04-03 13:37    	Online Vacation Center                                                     
2  	MLHR                  	        	J       	16,202,01	            	      	          	          	          	          	2020-04-03 13:25    	Herman Miller                                                              
3  	STZ.B                 	NYSE    	     USD	   0.6800	quarterly   	 2.090	          	2020-05-19	2020-05-05	2020-05-04	2020-04-03 12:32    	Constellation Brands                                                       
4  	STZ                   	NYSE    	     USD	   0.7500	quarterly   	 2.380	          	2020-05-19	2020-05-05	2020-05-04	2020-04-03 12:31    	Constellation Brands                                                       
5  	JSD                   	NYSE    	     USD	   0.0875	monthly     	10.050	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 11:18    	Nuveen Short Duration Credit Opportunities Fund                            
6  	JRO                   	NYSE    	     USD	   0.0560	monthly     	 9.630	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 11:17    	Nuveen Floating Rate Income Opportunity Fund                               
7  	JFR                   	NYSE    	     USD	   0.0570	monthly     	 9.670	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 11:15    	Nuveen Floating Rate Income Fund                                           
8  	NSL                   	NYSE    	     USD	   0.0350	monthly     	10.080	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 11:14    	Nuveen Senior Income Fund                                                  
9  	JPI                   	NYSE    	     USD	   0.1305	monthly     	 9.170	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 11:13    	Nuveen Preferred &amp; Income Term Fund                                    
10 	JPS                   	NYSE    	     USD	   0.0505	monthly     	 9.200	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 11:12    	Nuveen Preferred &amp; Income Securities Fund                              
11 	JPT                   	NYSE    	     USD	   0.1185	monthly     	 7.540	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 11:10    	The Nuveen Preferred and Income 2022 Term Fund                             
12 	JPC                   	NYSE    	     USD	   0.0530	monthly     	 9.740	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 11:09    	Nuveen Preferred &amp; Income Opportunities Fund                           
13 	NPV                   	NYSE    	     USD	   0.0435	monthly     	 4.210	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 11:04    	Nuveen Virginia Quality Municipal Income Fund                              
14 	NPN                   	NYSE    	     USD	   0.0305	monthly     	 2.860	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 11:02    	Nuveen Pennsylvania Municipal Value Fund                                   
15 	NQP                   	NYSE    	     USD	   0.0505	monthly     	 4.850	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 11:01    	Nuveen Pennsylvania Investment Quality Municipal Fund                      
16 	NMCO                  	NYSE    	     USD	   0.0525	monthly     	 5.250	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 10:57    	Nuveen Municipal Credit Opportunities Fund                                 
17 	NVG                   	NYSE    	     USD	   0.0655	monthly     	 5.750	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 10:54    	Nuveen AMT-Free Municipal Credit Income Fund                               
18 	NEA                   	NYSE    	     USD	   0.0535	monthly     	 5.000	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 10:53    	Nuveen AMT-Free Quality Municipal Income Fund                              
19 	NUO                   	NYSE    	     USD	   0.0440	monthly     	 3.770	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 10:48    	Nuveen Ohio Quality Municipal Income Fund                                  
20 	NJV                   	NYSE    	     USD	   0.0310	monthly     	 2.970	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 10:47    	Nuveen New Jersey Municipal Value Fund                                     
21 	NXJ                   	NYSE    	     USD	   0.0515	monthly     	 4.870	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 10:46    	Nuveen New Jersey Quality Municipal Income Fund                            
22 	NMS                   	NYSE    	     USD	   0.0445	monthly     	 4.360	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 10:42    	Nuveen Minnesota Quality Municipal Income Fund                             
23 	NOM                   	NYSE    	     USD	   0.0360	monthly     	 3.310	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 10:41    	Nuveen Missouri Quality Municipal Income Fund                              
24 	NSRGY  | NSRGF        	OTCPK   	        	         	            	      	          	          	          	          	2020-04-03 10:39    	Nestle                                                                     
25 	NUM                   	NYSE    	     USD	   0.0445	monthly     	 4.170	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 10:39    	Nuveen Michigan Quality Income Municipal Fund                              
26 	NAD                   	NYSE    	     USD	   0.0535	monthly     	 4.970	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 10:38    	Nuveen Quality Municipal Income Fund                                       
27 	NMY                   	NYSE    	     USD	   0.0440	monthly     	 4.430	          	2020-05-01	2020-04-15	2020-04-14	2020-04-03 10:37    	Nuveen Maryland Premium Income Municipal Fund                              
