id	        Ticker        	 Exchange 	Currency	 Dividend 	Distribution	 Yield  	30-Day SEC	 Payable  	  Record  	Ex-Dividend 	Timestamp 	          Fund           
1  	CP                    	NYSE    	     CAD	   0.8300	quarterly   	 1.050	          	2020-07-27	2020-06-26	2020-06-25	2020-04-20 17:41    	Canadian Pacific Railway                                                   
2  	FMY                   	NYSE    	     USD	   0.0600	monthly     	 5.540	          	2020-05-15	2020-05-04	2020-05-01	2020-04-20 17:36    	First Trust Mortgage Income Fund                                           
3  	FDEU                  	NYSE    	     USD	   0.0600	monthly     	 7.290	          	2020-05-15	2020-05-04	2020-05-01	2020-04-20 17:34    	First Trust Dynamic Europe Equity Income Fund                              
4  	FPF                   	NYSE    	     USD	   0.1325	monthly     	 8.160	          	2020-05-15	2020-05-04	2020-05-01	2020-04-20 17:32    	First Trust Intermediate Duration Preferred &amp; Income Fund              
5  	FIV                   	NYSE    	     USD	   0.0203	monthly     	 3.090	          	2020-05-15	2020-05-04	2020-05-01	2020-04-20 17:29    	First Trust Senior Floating Rate 2022 Target Term Fund                     
6  	FSD                   	NYSE    	     USD	   0.1100	monthly     	10.170	          	2020-05-15	2020-05-04	2020-05-01	2020-04-20 17:29    	First Trust High Income Long/Short Fund                                    
7  	FAM                   	NYSE    	     USD	   0.0800	monthly     	10.580	          	2020-05-15	2020-05-04	2020-05-01	2020-04-20 17:29    	First Trust/Aberdeen Global Opportunity Income Fund                        
8  	FCT                   	NYSE    	     USD	   0.0825	monthly     	 9.670	          	2020-05-15	2020-05-04	2020-05-01	2020-04-20 17:24    	First Trust Senior Floating Rate Income Fund II                            
9  	ENLC                  	NYSE    	     USD	   0.0938	quarterly   	32.630	          	2020-05-13	2020-05-01	2020-04-30	2020-04-20 17:17    	EnLink Midstream                                                           
10 	BMTC                  	NASDAQ  	     USD	   0.2600	quarterly   	 3.780	          	2020-06-01	2020-04-30	2020-04-29	2020-04-20 17:17    	Bryn Mawr Bank                                                             
11 	HPE                   	NYSE    	     USD	   0.1200	quarterly   	 5.130	          	2020-07-01	2020-06-10	2020-06-09	2020-04-20 16:33    	Hewlett Packard Enterprise                                                 
12 	RECN                  	NASDAQ  	     USD	   0.1400	quarterly   	 5.430	          	2020-06-10	2020-05-13	2020-05-12	2020-04-20 16:25    	Resources Connection                                                       
13 	RBB                   	NASDAQ  	     USD	   0.0600	quarterly   	 1.820	          	2020-05-13	2020-04-30	2020-04-29	2020-04-20 16:22    	RBB Bancorp                                                                
14 	EFSC                  	NASDAQ  	     USD	   0.1800	quarterly   	 2.600	          	2020-06-30	2020-06-15	2020-06-12	2020-04-20 16:13    	Enterprise Financial Services                                              
15 	WES                   	NYSE    	     USD	   0.3110	quarterly   	22.250	          	2020-05-14	2020-05-01	2020-04-30	2020-04-20 16:10    	Western Midstream Partners                                                 
16 	ALSWF                 	OTCPK   	     CAD	   0.0800	quarterly   	 3.270	          	2020-05-29	2020-05-08	2020-05-07	2020-04-20 15:44    	Absolute Software                                                          
17 	SO                    	NYSE    	     USD	   0.6400	quarterly   	 4.600	          	2020-06-08	2020-05-18	2020-05-15	2020-04-20 14:48    	Southern Co                                                                
18 	SRRTF                 	OTC     	     USD	   0.0720	monthly     	13.940	          	2020-05-15	2020-04-30	2020-04-29	2020-04-20 14:44    	Slate Retail REIT                                                          
19 	MGRUF                 	OTC     	     CAD	   0.0800	monthly     	16.520	          	2020-05-15	2020-04-30	2020-04-29	2020-04-20 14:03    	Morguard Real Estate Investment Trust                                      
20 	SRRTF                 	OTC     	     USD	   0.0720	monthly     	14.180	          	2020-05-15	2020-04-30	2020-04-29	2020-04-20 13:09    	Slate Retail REIT                                                          
21 	FT                    	NYSE    	     USD	   0.0320	monthly     	 5.870	          	2020-05-15	2020-04-30	2020-04-29	2020-04-20 13:07    	Franklin Universal Trust                                                   
22 	FTF                   	NYSEMKT 	     USD	   0.0740	monthly     	11.200	          	2020-05-15	2020-04-30	2020-04-29	2020-04-20 13:05    	Franklin Limited Duration Income Trust                                     
23 	SLTTF                 	OTC     	     CAD	   0.0333	monthly     	10.340	          	2020-05-15	2020-04-30	2020-04-29	2020-04-20 12:37    	Slate Office REIT                                                          
24 	PCAR                  	NASDAQ  	     USD	   0.3200	quarterly   	 1.880	          	2020-06-02	2020-05-12	2020-05-11	2020-04-20 12:28    	PACCAR                                                                     
25 	CRERF  | CRRFY        	OTCPK   	     EUR	   0.2300	annual      	      	          	2020-06-29	2020-06-09	2020-06-08	2020-04-20 12:01    	Carrefour                                                                  
26 	BMRC                  	NASDAQ  	     USD	   0.2300	quarterly   	 3.060	          	2020-05-08	2020-05-01	2020-04-30	2020-04-20 09:59    	Bank of Marin Bancorp                                                      
27 	RPKIF                 	OTC     	     CAD	   0.1100	monthly     	 3.030	          	2020-05-14	2020-04-30	2020-04-29	2020-04-20 09:57    	Richards Packaging Income Fund                                             
28 	PBT                   	NYSE    	     USD	   0.0230	monthly     	 9.170	          	2020-05-14	2020-04-30	2020-04-29	2020-04-20 09:56    	Permian Basin Royalty Trust                                                
29 	CRT                   	NYSE    	     USD	   0.0859	monthly     	19.410	          	2020-05-14	2020-04-30	2020-04-29	2020-04-20 09:52    	Cross Timbers Royalty Trust                                                
30 	SJT                   	NYSE    	     USD	   0.0083	monthly     	 4.740	          	2020-05-14	2020-04-30	2020-04-29	2020-04-20 09:47    	San Juan Basin Royalty Trust                                               
31 	HGTXU                 	NASDAQ  	     USD	   0.4375	quarterly   	 7.990	          	2020-05-15	2020-05-01	2020-04-30	2020-04-20 09:46    	Landmark Infrastructure Partners LP                                        
32 	LMRKN                 	NASDAQ  	     USD	   0.4938	quarterly   	 9.080	          	2020-05-15	2020-05-01	2020-04-30	2020-04-20 09:40    	Landmark Infrastructure Partners LP                                        
33 	LMRKO                 	NASDAQ  	     USD	   0.4938	            	      	          	          	          	          	2020-04-20 09:39    	THL Credit's                                                               
34 	TCRD                  	OTCPK   	     CAD	   0.0350	monthly     	11.100	          	2020-05-15	2020-04-30	2020-04-29	2020-04-20 08:32    	Chesswood Group                                                            
35 	CHWWF                 	NYSE    	     USD	   0.6700	quarterly   	 4.650	          	2020-06-12	2020-05-29	2020-05-28	2020-04-20 07:59    	Bank of Hawaii                                                             
