id	        Ticker        	 Exchange 	Currency	 Dividend 	Distribution	 Yield  	30-Day SEC	 Payable  	  Record  	Ex-Dividend 	Timestamp 	          Fund           
1  	CPKF                  	OTCQX   	     USD	   0.1250	quarterly   	 2.630	          	2020-06-15	2020-06-01	2020-05-29	2020-04-22 12:50    	Chesapeake Financial Shares                                                
2  	SHW                   	NYSE    	     USD	   1.3400	quarterly   	 1.080	          	2020-06-05	2020-05-22	2020-05-21	2020-04-22 12:39    	Sherwin Williams                                                           
3  	BBX                   	NYSE    	        	         	            	      	          	          	          	          	2020-04-22 12:07    	Citing COVID-19 impact, BBX Capital                                        
4  	WBA                   	NASDAQ  	     USD	   0.4575	quarterly   	 4.260	          	2020-06-12	2020-05-20	2020-05-19	2020-04-22 11:29    	Walgreens Boots                                                            
5  	ETN                   	NYSE    	     USD	   0.7300	quarterly   	 3.760	          	2020-05-29	2020-05-14	2020-05-13	2020-04-22 11:28    	Eaton                                                                      
6  	SXI                   	NYSE    	     USD	   0.2200	quarterly   	 1.980	          	2020-05-25	2020-05-11	2020-05-08	2020-04-22 11:17    	Standex                                                                    
7  	FNB                   	NYSE    	     USD	   0.1200	quarterly   	 6.630	          	2020-06-15	2020-06-01	2020-05-29	2020-04-22 11:17    	F.N.B.                                                                     
8  	EFSI                  	OTCQX   	     USD	   0.2600	quarterly   	 3.900	          	2020-05-18	2020-05-04	2020-05-01	2020-04-22 10:39    	Eagle Financial Services                                                   
9  	BUSE                  	NASDAQ  	     USD	   0.2200	quarterly   	      	          	2020-05-01	2020-04-24	2020-04-23	2020-04-22 10:39    	First Busey                                                                
10 	LAND                  	NASDAQ  	     USD	   0.0447	monthly     	      	          	2020-06-30	2020-06-19	2020-06-18	2020-04-22 10:20    	Gladstone Land                                                             
11 	BAC                   	NYSE    	     USD	   0.1800	quarterly   	 3.260	          	2020-06-26	2020-06-05	2020-06-04	2020-04-22 10:13    	Bank of America                                                            
12 	SLP                   	NASDAQ  	     USD	   0.0600	quarterly   	      	          	2020-05-01	2020-04-24	2020-04-23	2020-04-22 09:22    	Simulations Plus                                                           
13 	UGI                   	NYSE    	     USD	   0.3300	quarterly   	 4.840	          	2020-07-01	2020-06-15	2020-06-12	2020-04-22 09:20    	UGI                                                                        
14 	FCCO                  	NASDAQ  	     USD	   0.1200	quarterly   	 3.430	          	2020-05-18	2020-05-04	2020-05-01	2020-04-22 09:15    	First Community                                                            
15 	LAD                   	NYSE    	     USD	   0.3000	quarterly   	 1.360	          	2020-05-22	2020-05-08	2020-05-07	2020-04-22 08:53    	Lithia Motors                                                              
16 	FCFS                  	NASDAQ  	        	         	            	      	          	          	          	          	2020-04-22 08:52    	Although FirstCash                                                         
17 	CATC                  	NASDAQ  	     USD	   0.5300	quarterly   	 4.690	          	2020-05-21	2020-05-07	2020-05-06	2020-04-22 08:04    	Cambridge Bancorp                                                          
18 	NEP                   	NYSE    	     USD	   0.5550	quarterly   	 5.110	          	2020-05-15	2020-05-07	2020-05-06	2020-04-22 07:40    	NextEra Energy Partners                                                    
19 	CPF                   	NYSE    	     USD	   0.2300	quarterly   	 6.060	          	2020-06-15	2020-05-29	2020-05-28	2020-04-22 07:39    	Central Pacific Financial                                                  
20 	NDAQ                  	NASDAQ  	        	         	            	      	          	          	          	          	2020-04-22 07:21    	Nasdaq                                                                     
21 	RCI                   	NYSE    	     CAD	   0.5000	quarterly   	 3.470	          	2020-07-02	2020-06-10	2020-06-09	2020-04-22 07:16    	Rogers                                                                     
22 	NDAQ                  	NASDAQ  	     USD	   0.4900	quarterly   	 1.860	          	2020-06-26	2020-06-12	2020-06-11	2020-04-22 07:15    	Nasdaq                                                                     
23 	MNAT                  	OTCQX   	     USD	   0.2600	quarterly   	 4.030	          	2020-07-01	2020-06-19	2020-06-18	2020-04-22 07:15    	Marquette National                                                         
24 	EVTC                  	NYSE    	     USD	   0.0500	quarterly   	 0.890	          	2020-06-05	2020-05-04	2020-05-01	2020-04-22 07:14    	EVERTEC                                                                    
25 	MCO                   	NYSE    	     USD	   0.5600	quarterly   	 0.980	          	2020-06-10	2020-05-20	2020-05-19	2020-04-22 07:13    	Moody's                                                                    
26 	STM                   	NYSE    	        	   0.1680	annual      	 0.790	          	2020-03-30	2020-03-23	2020-03-22	2020-04-22 06:12    	STMicroelectronics                                                         
27 	EVR                   	NYSE    	     USD	   0.5800	quarterly   	 4.530	          	2020-06-12	2020-05-29	2020-05-28	2020-04-22 06:05    	Evercore                                                                   
