id	ticker	fund	exchange	currency	dividend	distribution	yield	sec	payable	record	ex_dividend	created
1	AMZA 	InfraCap MLP ETF	NYSEARCA	USD	0.2500	monthly	23.2200	NULL	2020-04-28	2020-04-21	2020-04-20	2020-04-20 00:36:40
2	PFFA 	Virtus InfraCap U.S. Preferred Stock ETF	NYSEARCA	USD	0.1500	monthly	11.1300	NULL	2020-04-28	2020-04-21	2020-04-20	2020-04-20 00:36:40
3	PFFR 	InfraCap REIT Preferred ETF	NYSEARCA	USD	0.1200	monthly	7.5700	NULL	2020-04-28	2020-04-21	2020-04-20	2020-04-20 00:36:40
4	WPTIF 	WPT Industrial REIT	OTCQX	USD	0.0633	monthly	7.0600	NULL	2020-05-15	2020-04-30	2020-04-29	2020-04-20 00:36:40
5	GRP.U 	Granite Real Estate Investment	NYSE	CAD	0.2420	monthly	4.8100	NULL	2020-05-15	2020-04-30	2020-04-29	2020-04-20 00:36:40
6	PSEC 	Under the amended plan, Prospect Capital	NASDAQ	'       T 	102.0000	NULL	NULL	1969-12-31	NULL	NULL	NULL	2020-04-20 00:36:40
7	VALU 	Value Line	NASDAQ	USD	0.2100	quarterly	2.7200	NULL	2020-05-11	2020-04-27	2020-04-24	2020-04-20 00:36:40
8	CHK 	Chesapeake Energy	NYSE	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2020-04-20 00:36:40
9	PVL 	Permianville Royalty Trust	NYSE	USD	0.0290	monthly	23.5100	NULL	2020-05-12	2020-04-30	2020-04-29	2020-04-20 00:36:40
10	VOC 	VOC Energy Trust	NYSE	USD	0.0300	quarterly	6.2500	NULL	2020-05-15	2020-04-30	2020-04-29	2020-04-20 00:36:40
11	SWK 	Stanley Black & Decker	NYSE	USD	0.6900	quarterly	2.4500	NULL	2020-06-16	2020-06-02	2020-06-01	2020-04-20 00:36:40
12	SWGAY  | SWGAF 	Citing COVID-19 pandemic,?Swatch Group	OTCPK	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2020-04-20 00:36:40
13	HRUFF 	H&R Real Estate Investment Trust	OTCPK	CAD	0.1150	monthly	15.0900	NULL	2020-05-04	2020-04-27	2020-04-24	2020-04-20 00:36:40
14	CMLEF 	Cominar Real Estate Investment Trust	OTCPK	CAD	0.0600	monthly	8.2900	NULL	2020-05-15	2020-04-30	2020-04-29	2020-04-20 00:36:40
15	PPT 	Putnam Premier Income Trust	NYSE	USD	0.0350	monthly	9.5300	NULL	2020-06-01	2020-05-22	2020-05-21	2020-04-20 00:36:40
16	PMO 	Putnam Municipal Opportunities Trust	NYSE	USD	0.0531	monthly	5.2400	NULL	2020-06-01	2020-05-22	2020-05-21	2020-04-20 00:36:40
17	PMM 	Putnam Managed Municipal Income Trust	NYSE	USD	0.0320	monthly	5.4900	NULL	2020-06-01	2020-05-22	2020-05-21	2020-04-20 00:36:40
18	PIM 	Putnam Master Intermediate Income Trust	NYSE	USD	0.0300	monthly	8.4300	NULL	2020-06-01	2020-05-22	2020-05-21	2020-04-20 00:36:40
19	CROMF 	Crombie REIT	OTC	CAD	0.0742	monthly	7.0500	NULL	2020-05-15	2020-04-30	2020-04-29	2020-04-20 00:36:40
20	RMIAF 	Automotive Finco	OTC	USD	0.0171	monthly	NULL	NULL	2020-05-29	2020-04-30	2020-04-29	2020-04-20 00:36:40
21	SVC 	Service Properties Trust	NASDAQ	USD	0.0100	quarterly	NULL	NULL	2020-05-21	2020-04-21	2020-04-20	2020-04-20 00:36:40
22	KBRLF 	K-Bro Linen	OTC	CAD	0.1000	monthly	NULL	NULL	2020-05-15	2020-04-30	2020-04-29	2020-04-20 00:36:40
23	KSS 	Kohl?s Corporation	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2020-04-20 00:36:40
24	CMHF 	Community Heritage Financial	OTCPK	USD	0.0400	quarterly	0.8700	NULL	2020-05-08	2020-05-01	2020-04-30	2020-04-20 00:36:40
25	KFFB 	Kentucky First Federal Bancorp	NASDAQ	USD	0.1000	quarterly	6.7600	NULL	2020-05-18	2020-04-30	2020-04-29	2020-04-20 00:36:40
26	ORAN 	Orange	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2020-04-20 00:36:40
27	CIVB 	Civista Bancshares	NASDAQ	USD	0.1100	quarterly	NULL	NULL	2020-05-01	2020-04-21	2020-04-20	2020-04-20 00:36:40
28	DIA 	SPDR Dow Jones Industrial Average	NYSEARCA	USD	0.1302	monthly	2.6600	2020-04-15	2020-05-11	2020-04-20	2020-04-17	2020-04-20 00:36:40
29	CSSEP 	Chicken Soup for the Soul Entertainment Series A Cumu Perp Red Prfd Stk	NASDAQ	USD	0.2031	monthly	10.2400	NULL	2020-05-15	2020-04-30	2020-04-29	2020-04-20 00:36:40
30	BSRR 	Sierra Bancorp	NASDAQ	USD	0.2000	quarterly	5.2300	NULL	2020-05-13	2020-04-30	2020-04-29	2020-04-20 00:36:40
31	BITGF 	In the light of the general uncertainty due to outbreak of COVID-19, the board of directors of Biotage	OTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2020-04-20 00:36:40
32	EIFZF 	Exchange Income	OTCPK	CAD	0.1900	monthly	10.1700	NULL	2020-05-15	2020-04-30	2020-04-29	2020-04-20 00:36:40
