id	        Ticker        	 Exchange 	Currency	 Dividend 	Distribution	 Yield  	30-Day SEC	 Payable  	  Record  	Ex-Dividend 	Timestamp 	          Fund           
1  	GLP.PA                	NYSE    	     USD	   0.6094	quarterly   	11.880	          	2020-05-15	2020-05-01	2020-04-30	2020-04-16 09:42    	Global Partners LP Cum Conv Red Perp Pfd Registered Units Series A         
2  	PLBC                  	NASDAQ  	     USD	   0.1200	quarterly   	 2.830	          	2020-05-15	2020-05-01	2020-04-30	2020-04-16 09:38    	Plumas Bancorp                                                             
3  	PPG                   	NYSE    	     USD	   0.5100	quarterly   	 2.310	          	2020-06-12	2020-05-11	2020-05-08	2020-04-16 09:38    	PPG                                                                        
4  	TRUX                  	OTCPK   	     USD	   0.2800	quarterly   	 2.870	          	2020-06-26	2020-06-10	2020-06-09	2020-04-16 08:51    	Truxton                                                                    
5  	CIT                   	NYSE    	     USD	   0.3500	quarterly   	 7.430	          	2020-05-22	2020-05-08	2020-05-07	2020-04-16 08:51    	CIT                                                                        
6  	GT                    	NASDAQ  	        	         	            	      	          	          	          	          	2020-04-16 08:49    	The Goodyear Tire &amp; Rubber Company                                     
7  	TGP                   	NYSE    	     USD	   0.2500	quarterly   	 9.510	          	2020-05-15	2020-05-01	2020-04-30	2020-04-16 07:53    	Teekay LNG                                                                 
8  	RMR                   	NASDAQ  	     USD	   0.3800	quarterly   	 5.420	          	2020-05-21	2020-04-27	2020-04-24	2020-04-16 07:51    	RMR Group                                                                  
9  	MS                    	NYSE    	     USD	   0.3500	quarterly   	 3.650	          	2020-05-15	2020-04-30	2020-04-29	2020-04-16 07:36    	Morgan Stanley                                                             
10 	BK                    	NYSE    	     USD	   0.3100	quarterly   	 3.580	          	2020-05-11	2020-04-28	2020-04-27	2020-04-16 06:33    	Bank of New York Mellon                                                    
11 	PZRIF                 	OTC     	     CAD	   0.0500	monthly     	 6.880	          	2020-05-15	2020-04-30	2020-04-29	2020-04-16 06:02    	Pizza Pizza Royalty                                                        
12 	BREUF                 	        	        	         	            	      	          	          	          	          	2020-04-16 03:06    	While most of corporate America suspends shareholder returns to shore up li
13 	CE                    	OTCPK   	     CAD	   0.1125	monthly     	16.750	          	2020-05-29	2020-04-30	2020-04-29	2020-04-15 18:06    	Bridgemarq Real Estate Services                                            
14 	SMMCF                 	NYSE    	     USD	   0.6200	quarterly   	 3.050	          	2020-05-07	2020-04-27	2020-04-24	2020-04-15 17:51    	Celanese Corp.                                                             
15 	MNARF                 	OTC     	     CAD	   0.0450	monthly     	 5.160	          	2020-05-15	2020-04-30	2020-04-29	2020-04-15 17:43    	Summit Industrial Income REIT                                              
16 	PEYUF                 	OTC     	     CAD	   0.0583	monthly     	 5.140	          	2020-05-15	2020-04-30	2020-04-29	2020-04-15 17:42    	Morguard North American Residential REIT                                   
17 	ARESF                 	OTCPK   	        	   0.0100	quarterly   	 2.230	          	2020-07-15	2020-06-30	2020-06-29	2020-04-15 17:39    	Peyto Exploration                                                          
18 	DGICB                 	OTCPK   	     CAD	   0.0450	monthly     	 6.430	          	2020-05-15	2020-04-30	2020-04-29	2020-04-15 17:15    	Artis Real Estate Investment Trust                                         
19 	CDPYF                 	NASDAQ  	     USD	   0.1325	quarterly   	 3.770	          	2020-05-15	2020-05-01	2020-04-30	2020-04-15 17:11    	Donegal Group                                                              
20 	DGICA                 	OTC     	     CAD	   0.1150	monthly     	 3.060	          	2020-05-15	2020-04-30	2020-04-29	2020-04-15 17:09    	Canadian Apartment Properties REIT                                         
21 	BSRTF                 	NASDAQ  	     USD	   0.1500	quarterly   	 3.980	          	2020-05-15	2020-05-01	2020-04-30	2020-04-15 17:09    	Donegal Group                                                              
22 	SPGYF                 	OTCPK   	     USD	   0.0417	monthly     	 5.390	          	2020-05-15	2020-04-30	2020-04-29	2020-04-15 17:09    	BSR REIT                                                                   
23 	ECC                   	OTCPK   	     CAD	   0.0143	monthly     	12.700	          	2020-05-15	2020-04-30	2020-04-29	2020-04-15 17:07    	Whitecap Resources                                                         
24 	FCRGF                 	NYSE    	     USD	   0.0800	monthly     	14.650	          	2020-06-30	2020-06-12	2020-06-11	2020-04-15 17:07    	Eagle Point Credit                                                         
25 	FNLIF                 	OTCPK   	     CAD	   0.0716	monthly     	 3.840	          	2020-05-15	2020-04-30	2020-04-29	2020-04-15 17:05    	First Capital Realty                                                       
26 	ATR                   	OTCPK   	     CAD	   0.1625	monthly     	 7.870	          	2020-05-15	2020-04-30	2020-04-29	2020-04-15 17:04    	First National Financial                                                   
27 	VREYF                 	NYSE    	     USD	   0.3600	quarterly   	 1.430	          	2020-05-20	2020-04-29	2020-04-28	2020-04-15 17:03    	AptarGroup                                                                 
28 	NRG                   	OTCPK   	     CAD	   0.0050	monthly     	 7.680	          	2020-05-15	2020-04-30	2020-04-29	2020-04-15 16:50    	TORC Oil &amp; Gas                                                         
29 	NWHUF                 	NYSE    	     USD	   0.3000	quarterly   	 4.070	          	2020-05-15	2020-05-01	2020-04-30	2020-04-15 16:48    	NRG Energy                                                                 
30 	NGLS.PA               	OTC     	     CAD	   0.0667	monthly     	 8.220	          	2020-05-15	2020-04-30	2020-04-29	2020-04-15 16:41    	NorthWest Healthcare Properties REIT                                       
31 	IID                   	NYSE    	     USD	   0.1875	monthly     	12.970	          	2020-05-15	2020-04-30	2020-04-29	2020-04-15 16:40    	Targa Resources Partners LP                                                
32 	IGD                   	NYSE    	     USD	   0.0300	monthly     	 9.020	          	2020-05-15	2020-05-04	2020-05-01	2020-04-15 16:39    	Voya International High Dividend Equity Income Fund                        
33 	AON                   	NYSE    	     USD	   0.0400	monthly     	 9.930	          	2020-05-15	2020-05-04	2020-05-01	2020-04-15 16:37    	Voya Global Equity Dividend and Premium Opportunity Fund                   
34 	JPM.PG                	NYSE    	     USD	   0.4400	quarterly   	 0.910	          	2020-05-15	2020-05-01	2020-04-30	2020-04-15 16:33    	Aon                                                                        
35 	JPM.PH                	NYSE    	     USD	   0.3813	quarterly   	 1.600	          	2020-06-01	2020-05-04	2020-05-01	2020-04-15 16:28    	JPMorgan Chase &amp; Co Deposit Shs Non-Cum Pfd Shs Series AA              
36 	JPM.PC                	NYSE    	     USD	   0.3844	quarterly   	      	          	2020-06-01	2020-05-04	2020-05-01	2020-04-15 16:28    	JPMorgan Chase &amp; Co Deposit Shs Repr Non-Cum Pfd Shs Series BB         
37 	COST                  	NYSE    	     USD	   0.3750	quarterly   	 5.590	          	2020-06-01	2020-05-04	2020-05-01	2020-04-15 16:26    	JPMorgan Chase &amp; Co. 6 DEP NCM PFD EE                                  
38 	AM                    	NASDAQ  	     USD	   0.7000	quarterly   	 0.900	          	2020-05-15	2020-05-01	2020-04-30	2020-04-15 16:24    	Costco                                                                     
39 	ARTNA                 	NYSE    	     USD	   0.3075	quarterly   	44.890	          	2020-05-12	2020-04-30	2020-04-29	2020-04-15 16:22    	Antero Midstream                                                           
40 	JBL                   	NASDAQ  	     USD	   0.2496	quarterly   	 2.760	          	2020-05-22	2020-05-08	2020-05-07	2020-04-15 16:17    	Artesian Resources                                                         
41 	CVCY                  	NYSE    	     USD	   0.0800	quarterly   	 1.220	          	2020-06-03	2020-05-15	2020-05-14	2020-04-15 16:16    	Jabil                                                                      
42 	UNB                   	NASDAQ  	     USD	   0.1100	quarterly   	 3.710	          	2020-05-15	2020-05-01	2020-04-30	2020-04-15 16:07    	Central Valley Community Bancorp                                           
43 	HFBL                  	NASDAQ  	     USD	   0.3200	quarterly   	 4.870	          	2020-05-07	2020-04-27	2020-04-24	2020-04-15 16:05    	Union Bankshares                                                           
44 	MCBS                  	NASDAQ  	     USD	   0.1600	quarterly   	 2.870	          	2020-05-11	2020-04-27	2020-04-24	2020-04-15 16:05    	Home Federal                                                               
45 	CBSHP                 	NASDAQ  	     USD	   0.1100	quarterly   	 4.350	          	2020-05-08	2020-05-01	2020-04-30	2020-04-15 15:52    	MetroCity Bankshares                                                       
