id	ticker	fund	exchange	currency	dividend	distribution	yield	sec	payable	record	ex_dividend	created
1	CPKF 	Chesapeake Financial Shares	OTCQX	USD	0.1250	quarterly	2.6300	NULL	2020-06-15	2020-06-01	2020-05-29	2020-04-22 13:40:41
2	SHW 	Sherwin Williams	NYSE	USD	1.3400	quarterly	1.0800	NULL	2020-06-05	2020-05-22	2020-05-21	2020-04-22 13:40:41
3	BBX 	Citing COVID-19 impact, BBX Capital	NYSE	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2020-04-22 13:40:41
4	WBA 	Walgreens Boots	NASDAQ	USD	0.4575	quarterly	4.2600	NULL	2020-06-12	2020-05-20	2020-05-19	2020-04-22 13:40:41
5	ETN 	Eaton	NYSE	USD	0.7300	quarterly	3.7600	NULL	2020-05-29	2020-05-14	2020-05-13	2020-04-22 13:40:41
6	SXI 	Standex	NYSE	USD	0.2200	quarterly	1.9800	NULL	2020-05-25	2020-05-11	2020-05-08	2020-04-22 13:40:41
7	FNB 	F.N.B.	NYSE	USD	0.1200	quarterly	6.6300	NULL	2020-06-15	2020-06-01	2020-05-29	2020-04-22 13:40:41
8	EFSI 	Eagle Financial Services	OTCQX	USD	0.2600	quarterly	3.9000	NULL	2020-05-18	2020-05-04	2020-05-01	2020-04-22 13:40:41
9	BUSE 	First Busey	NASDAQ	USD	0.2200	quarterly	NULL	NULL	2020-05-01	2020-04-24	2020-04-23	2020-04-22 13:40:41
10	LAND 	Gladstone Land	NASDAQ	USD	0.0447	monthly	NULL	NULL	2020-06-30	2020-06-19	2020-06-18	2020-04-22 13:40:41
11	BAC 	Bank of America	NYSE	USD	0.1800	quarterly	3.2600	NULL	2020-06-26	2020-06-05	2020-06-04	2020-04-22 13:40:41
12	SLP 	Simulations Plus	NASDAQ	USD	0.0600	quarterly	NULL	NULL	2020-05-01	2020-04-24	2020-04-23	2020-04-22 13:40:41
13	UGI 	UGI	NYSE	USD	0.3300	quarterly	4.8400	NULL	2020-07-01	2020-06-15	2020-06-12	2020-04-22 13:40:41
14	FCCO 	First Community	NASDAQ	USD	0.1200	quarterly	3.4300	NULL	2020-05-18	2020-05-04	2020-05-01	2020-04-22 13:40:41
15	LAD 	Lithia Motors	NYSE	USD	0.3000	quarterly	1.3600	NULL	2020-05-22	2020-05-08	2020-05-07	2020-04-22 13:40:41
16	FCFS 	Although FirstCash	NASDAQ	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2020-04-22 13:40:41
