id	ticker	fund	exchange	currency	dividend	distribution	yield	sec	payable	record	ex_dividend	created
1	CP 	Canadian Pacific Railway	NYSE	CAD	0.8300	quarterly	1.0500	NULL	2020-07-27	2020-06-26	2020-06-25	2020-04-21 00:11:52
2	FMY 	First Trust Mortgage Income Fund	NYSE	USD	0.0600	monthly	5.5400	NULL	2020-05-15	2020-05-04	2020-05-01	2020-04-21 00:11:52
3	FDEU 	First Trust Dynamic Europe Equity Income Fund	NYSE	USD	0.0600	monthly	7.2900	NULL	2020-05-15	2020-05-04	2020-05-01	2020-04-21 00:11:52
4	FPF 	First Trust Intermediate Duration Preferred & Income Fund	NYSE	USD	0.1325	monthly	8.1600	NULL	2020-05-15	2020-05-04	2020-05-01	2020-04-21 00:11:52
5	FIV 	First Trust Senior Floating Rate 2022 Target Term Fund	NYSE	USD	0.0203	monthly	3.0900	NULL	2020-05-15	2020-05-04	2020-05-01	2020-04-21 00:11:52
6	FSD 	First Trust High Income Long/Short Fund	NYSE	USD	0.1100	monthly	10.1700	NULL	2020-05-15	2020-05-04	2020-05-01	2020-04-21 00:11:52
7	FAM 	First Trust/Aberdeen Global Opportunity Income Fund	NYSE	USD	0.0800	monthly	10.5800	NULL	2020-05-15	2020-05-04	2020-05-01	2020-04-21 00:11:52
8	FCT 	First Trust Senior Floating Rate Income Fund II	NYSE	USD	0.0825	monthly	9.6700	NULL	2020-05-15	2020-05-04	2020-05-01	2020-04-21 00:11:52
9	ENLC 	EnLink Midstream	NYSE	USD	0.0938	quarterly	32.6300	NULL	2020-05-13	2020-05-01	2020-04-30	2020-04-21 00:11:52
10	BMTC 	Bryn Mawr Bank	NASDAQ	USD	0.2600	quarterly	3.7800	NULL	2020-06-01	2020-04-30	2020-04-29	2020-04-21 00:11:52
11	HPE 	Hewlett Packard Enterprise	NYSE	USD	0.1200	quarterly	5.1300	NULL	2020-07-01	2020-06-10	2020-06-09	2020-04-21 00:11:52
