id	        Ticker        	 Exchange 	Currency	 Dividend 	Distribution	 Yield  	30-Day SEC	 Payable  	  Record  	Ex-Dividend 	Timestamp 	          Fund           
1  	EQNR  | RDS.A  | RDS.B	NYSE    	        	         	            	      	          	          	          	          	2020-04-23 05:21    	The world's largest oil companies have been known for their dividend safety
2  	UL  | UN              	NYSE    	        	         	            	      	          	          	          	          	2020-04-23 04:26    	Unilever's                                                                 
3  	CFPUF                 	OTC     	        	         	            	      	          	          	          	          	2020-04-23 01:48    	Canfor Pulp Products                                                       
4  	EQNR                  	NYSE    	     USD	   0.0900	quarterly   	 2.860	          	          	2020-08-23	2020-08-23	2020-04-23 01:43    	Equinor                                                                    
5  	VVV                   	NYSE    	     USD	   0.1130	quarterly   	 3.270	          	2020-06-15	2020-05-29	2020-05-28	2020-04-23 01:32    	Valvoline                                                                  
6  	LMT                   	NYSE    	     USD	   2.4000	quarterly   	 2.570	          	2020-06-26	2020-06-01	2020-05-29	2020-04-23 01:32    	Lockheed Martin                                                            
7  	BXG                   	NYSE    	        	         	            	      	          	          	          	          	2020-04-22 18:25    	Citing the impact of COVID-19, Bluegreen Vacations                         
8  	POR                   	NYSE    	     USD	   0.3850	quarterly   	 3.110	          	2020-07-15	2020-06-25	2020-06-24	2020-04-22 18:19    	Portland General Electric                                                  
9  	NWE                   	NYSE    	     USD	   0.6000	quarterly   	 4.050	          	2020-06-30	2020-06-15	2020-06-12	2020-04-22 18:04    	NorthWestern                                                               
10 	PNW                   	NYSE    	     USD	   0.7825	quarterly   	 4.140	          	2020-06-01	2020-05-04	2020-05-01	2020-04-22 18:02    	Pinnacle West Capital                                                      
11 	PUB                   	NASDAQ  	     USD	   0.1400	quarterly   	 3.190	          	2020-05-11	2020-05-04	2020-05-01	2020-04-22 17:58    	People's Utah Bancorp                                                      
12 	RUSHA  | RUSHB        	NASDAQ  	     USD	   0.1300	quarterly   	 1.630	          	2020-06-10	2020-05-07	2020-05-06	2020-04-22 17:52    	Rush                                                                       
13 	OSBC                  	NASDAQ  	     USD	   0.0100	quarterly   	 0.580	          	2020-05-11	2020-05-01	2020-04-30	2020-04-22 17:45    	Old Second Bancorp                                                         
14 	HOMB                  	NASDAQ  	     USD	   0.1300	quarterly   	 4.260	          	2020-06-03	2020-05-13	2020-05-12	2020-04-22 17:16    	Home BancShares                                                            
15 	SPR                   	NYSE    	     USD	   0.0100	quarterly   	 0.210	          	2020-07-06	2020-06-15	2020-06-12	2020-04-22 17:12    	Spirit AeroSystems                                                         
16 	MMLP                  	NASDAQ  	     USD	   0.0625	quarterly   	15.060	          	2020-05-15	2020-05-08	2020-05-07	2020-04-22 17:09    	Martin Midstream Partners                                                  
17 	SCHW.PC               	NYSE    	     USD	   0.3750	quarterly   	 5.910	          	2020-06-01	2020-05-15	2020-05-14	2020-04-22 17:03    	Charles Schwab Corp Deposit Shs Non-Cum Pfd Shs Series C                   
18 	SCHW.PD               	NYSE    	     USD	   0.3720	quarterly   	 5.720	          	2020-06-01	2020-05-15	2020-05-14	2020-04-22 17:03    	Charles Schwab Corp Deposit Shs Non-Cum Pfd Shs Series D                   
19 	PH                    	NYSE    	     USD	   0.8800	quarterly   	 2.650	          	2020-06-05	2020-05-08	2020-05-07	2020-04-22 17:01    	Parker-Hannifin                                                            
20 	SCHW                  	NYSE    	     USD	   0.1800	quarterly   	 2.000	          	2020-05-22	2020-05-08	2020-05-07	2020-04-22 17:00    	Charles Schwab                                                             
21 	BSM                   	NYSE    	     USD	   0.0800	quarterly   	 5.670	          	2020-05-21	2020-05-14	2020-05-13	2020-04-22 16:52    	Black Stone Minerals                                                       
22 	OFG.PD                	NYSE    	     USD	   0.4453	quarterly   	 8.070	          	2020-07-15	2020-06-30	2020-06-29	2020-04-22 16:48    	OFG Bancorp Non-Cum Perp Pfd Shs Series D                                  
23 	CSWC                  	NASDAQ  	     USD	   0.5100	quarterly   	19.470	          	2020-06-30	2020-06-15	2020-06-12	2020-04-22 16:46    	Capital Southwest                                                          
24 	UFPI                  	NASDAQ  	     USD	   0.1250	quarterly   	 1.400	          	2020-06-15	2020-06-01	2020-05-29	2020-04-22 16:45    	Universal Forest Products                                                  
25 	MC                    	NYSE    	     USD	   0.2550	quarterly   	 3.390	          	2020-06-30	2020-05-04	2020-05-01	2020-04-22 16:44    	Moelis                                                                     
26 	DLNG.PA               	NYSE    	     USD	   0.5625	quarterly   	13.310	          	2020-05-12	2020-05-05	2020-05-04	2020-04-22 16:39    	Dynagas LNG Partners LP                                                    
27 	MN                    	NYSE    	    A  T	   2.0000	            	      	          	          	          	          	2020-04-22 16:39    	Manning &amp; Napier                                                       
28 	LSTR                  	NASDAQ  	     USD	   0.1850	quarterly   	 0.750	          	2020-05-29	2020-05-07	2020-05-06	2020-04-22 16:38    	Landstar System                                                            
29 	NBN                   	NASDAQ  	     USD	   0.0100	quarterly   	 0.350	          	2020-05-21	2020-05-07	2020-05-06	2020-04-22 16:35    	Northeast Bank                                                             
30 	OBNK                  	NASDAQ  	     USD	   0.0925	quarterly   	 1.880	          	2020-05-29	2020-05-15	2020-05-14	2020-04-22 16:34    	Origin Bancorp                                                             
31 	CSTR                  	NASDAQ  	     USD	   0.0500	quarterly   	 2.120	          	2020-05-29	2020-05-15	2020-05-14	2020-04-22 16:34    	CapStar Financial                                                          
32 	BXS                   	NYSE    	     USD	   0.1850	quarterly   	 3.730	          	2020-07-01	2020-06-15	2020-06-12	2020-04-22 16:34    	BancorpSouth                                                               
33 	RF                    	NYSE    	     USD	   0.1550	quarterly   	 6.820	          	2020-07-01	2020-06-05	2020-06-04	2020-04-22 16:34    	Regions Financial                                                          
34 	FNF                   	NYSE    	     USD	   0.3300	quarterly   	 5.200	          	2020-06-30	2020-06-16	2020-06-15	2020-04-22 16:34    	Fidelity National Financial                                                
35 	ROIC                  	NASDAQ  	        	         	            	      	          	          	          	          	2020-04-22 16:33    	Retail Opportunity Investments                                             
36 	XLNX                  	NASDAQ  	     USD	   0.3800	quarterly   	 1.680	          	2020-06-03	2020-05-13	2020-05-12	2020-04-22 16:23    	Xilinx                                                                     
37 	KO                    	NYSE    	     USD	   0.4100	quarterly   	      	          	2020-07-01	2020-06-15	2020-06-12	2020-04-22 16:23    	Coca-Cola                                                                  
38 	AWI                   	NYSE    	     USD	   0.2000	quarterly   	 1.050	          	2020-05-21	2020-05-07	2020-05-06	2020-04-22 16:21    	Armstrong World                                                            
39 	MATW                  	NASDAQ  	     USD	   0.2100	quarterly   	 3.830	          	2020-05-18	2020-05-04	2020-05-01	2020-04-22 16:21    	Matthews                                                                   
40 	WRE                   	NYSE    	     USD	   0.3000	quarterly   	 5.590	          	2020-07-06	2020-06-22	2020-06-19	2020-04-22 16:20    	Washington Real Estate                                                     
41 	AZZ                   	NYSE    	     USD	   0.1700	quarterly   	 2.480	          	2020-05-21	2020-05-07	2020-05-06	2020-04-22 16:15    	AZZ                                                                        
42 	OFG                   	NYSE    	     USD	   0.0700	quarterly   	 2.610	          	2020-07-15	2020-06-30	2020-06-29	2020-04-22 16:14    	OFG Bancorp                                                                
43 	V                     	NYSE    	     USD	   0.3000	quarterly   	 0.720	          	2020-06-02	2020-05-14	2020-05-13	2020-04-22 16:13    	Visa                                                                       
44 	STX                   	NASDAQ  	     USD	   0.6500	quarterly   	 5.130	          	2020-07-08	2020-06-24	2020-06-23	2020-04-22 16:11    	Seagate Technology                                                         
45 	KMI                   	NYSE    	     USD	   0.2625	quarterly   	 7.150	          	2020-05-15	2020-05-04	2020-05-01	2020-04-22 16:09    	Kinder Morgan                                                              
46 	PFBX                  	OTC     	     USD	   0.0200	quarterly   	 0.990	          	2020-05-08	2020-05-04	2020-05-01	2020-04-22 16:08    	Peoples Financial                                                          
47 	AMTD                  	NASDAQ  	     USD	   0.3100	quarterly   	 3.310	          	2020-05-20	2020-05-06	2020-05-05	2020-04-22 16:05    	TD Ameritrade                                                              
48 	BPRN                  	NASDAQ  	     USD	   0.1000	quarterly   	 2.070	          	2020-06-01	2020-05-15	2020-05-14	2020-04-22 16:02    	The Bank of Princeton                                                      
49 	SGU                   	NYSE    	     USD	   0.1325	quarterly   	 7.400	          	2020-05-12	2020-05-04	2020-05-01	2020-04-22 15:14    	Star Group                                                                 
50 	ASML                  	NASDAQ  	        	         	            	      	          	          	          	          	2020-04-22 13:44    	ASML Holding                                                               
