id	        Ticker        	 Exchange 	Currency	 Dividend 	Distribution	 Yield  	30-Day SEC	 Payable  	  Record  	Ex-Dividend 	Timestamp 	          Fund           
1  	UNCFF                 	OTCPK   	        	         	            	      	          	          	          	          	2020-03-29 18:11    	Following the ECB's recommendation on 27 March 2020 to not pay dividends un
2  	LZB                   	NYSE    	        	         	            	      	          	          	          	          	2020-03-29 17:20    	La-Z-Boy                                                                   
3  	EC                    	NYSE    	        	         	            	      	          	          	          	          	2020-03-29 03:32    	Ecopetrol S.A.                                                             
4  	RWT                   	NYSE    	        	         	            	      	          	          	          	          	2020-03-28 13:24    	Redwood Trust                                                              
5  	MITT                  	NYSE    	        	         	            	      	          	          	          	          	2020-03-27 23:34    	AG Mortgage Investment Trust                                               
6  	T.PC                  	NYSE    	     USD	   0.2408	quarterly   	 4.430	          	2020-05-01	2020-04-09	2020-04-08	2020-03-27 17:11    	AT&amp;T Inc. 4.750% PFD SER C                                             
7  	T.PA                  	OTC     	     USD	   0.3125	quarterly   	 5.270	          	2020-05-01	2020-04-09	2020-04-08	2020-03-27 17:09    	AT&amp;T Inc. 5 DEP RP PFD A                                               
8  	EAD                   	NYSEMKT 	     USD	   0.0597	monthly     	11.630	          	2020-05-01	2020-04-14	2020-04-13	2020-03-27 17:08    	Wells Fargo Advantage Income Opportunities Fund                            
9  	ERH                   	NYSEMKT 	     USD	   0.0810	monthly     	      	          	2020-05-01	2020-04-14	2020-04-13	2020-03-27 17:06    	Wells Fargo Advantage Utilities &amp; High Income Fund                     
10 	ERC                   	NYSEMKT 	     USD	   0.0994	monthly     	12.520	          	2020-05-01	2020-04-14	2020-04-13	2020-03-27 17:04    	Wells Fargo Multi-Sector Income Fund                                       
11 	RVSB                  	NASDAQ  	     USD	   0.0500	quarterly   	 4.020	          	2020-04-22	2020-04-09	2020-04-08	2020-03-27 16:53    	Riverview Bancorp                                                          
12 	TPX                   	NYSE    	        	         	            	      	          	          	          	          	2020-03-27 14:01    	Tempur Sealy                                                               
13 	WAYN                  	OTC     	     USD	   0.2000	quarterly   	 4.710	          	2020-04-29	2020-04-15	2020-04-14	2020-03-27 13:34    	Wayne Savings                                                              
14 	VTHR                  	NASDAQ  	     USD	   0.5821	quarterly   	 1.870	2020-02-29	2020-03-31	2020-03-27	2020-03-26	2020-03-27 12:15    	Vanguard Russell 3000 ETF                                                  
15 	VTWG                  	NASDAQ  	     USD	   0.2343	quarterly   	 0.480	2020-02-29	2020-03-31	2020-03-27	2020-03-26	2020-03-27 12:14    	Vanguard Russell 2000 Growth ETF                                           
16 	VTWV                  	NASDAQ  	     USD	   0.1059	quarterly   	 2.280	2020-02-29	2020-03-31	2020-03-27	2020-03-26	2020-03-27 12:14    	Vanguard Russell 2000 Value ETF                                            
17 	VTWO                  	NASDAQ  	     USD	   0.1282	quarterly   	 1.470	2020-02-29	2020-03-31	2020-03-27	2020-03-26	2020-03-27 12:14    	Vanguard Russell 2000 ETF                                                  
18 	VONG                  	NASDAQ  	     USD	   0.4918	quarterly   	 1.160	2020-02-29	2020-03-31	2020-03-27	2020-03-26	2020-03-27 12:13    	Vanguard Russell 1000 Growth ETF                                           
19 	VONV                  	NASDAQ  	     USD	   0.7137	quarterly   	 2.800	2020-02-29	2020-03-31	2020-03-27	2020-03-26	2020-03-27 12:13    	Vanguard Russell 1000 Value ETF                                            
20 	VONE                  	NASDAQ  	     USD	   0.6364	quarterly   	 1.920	2020-02-29	2020-03-31	2020-03-27	2020-03-26	2020-03-27 12:12    	Vanguard Russell 1000 ETF                                                  
